author,comment,comment_pre_processing,date,url,product,stars,price,currency,weight,target_by_RuBRT-tiny_no_processing,target_by_stars,target_by_RuBRT-tiny_processing
Olya,Ну очень вкусные ❤️,очень вкусный ❤️,18 мая 2025  · Карта: xxx69,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
СВЕТЛАНА ИВАНОВНА,"Вкусный персик,
Спелый., сочный 🍅, свежий, сладкий с кислинкой. Понравился. Мне",вкусный персик спелый сочный свежий сладкий кислинка понравиться,17 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Екатерина,"Бесвкусные, хоть и переспелые. Заказала специально немного, но в доставке самостоятельно увеличили вес, хотя персики маленькие и видно, если убрать хотя бы 1, вес будет таким, как заказывала...",бесвкусный переспелый заказать специально немного доставка самостоятельно увеличить вес хотя персик маленький видно убрать хотя вес заказывать,17 мая 2025  · Карта: xxx47,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
ТАТЬЯНА,"Курьер привез все мятые, до следующего дня не дожили, испортились. Ставлю 4 звёзды так как были мягкие, половина с кислинкой, половина с элементами сладости.",курьер привезти всё мятый следующий не дожить испортиться ставить звезда мягкий половина кислинка половина сладость,17 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,0,1,0
Татьяна,"Привезли спелые. Вполне подходят, если нет сил дождаться сезона)",привезти спелый вполне подходить сила дождаться сезон,17 мая 2025  · Карта: xxx01,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
ЛАРИСА,"На вид - очень неказистый, но внутри - спелый и сладкий.",вид очень неказистый внутри спелый сладкий,17 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,0,1,0
Ольга,"Свежие, сочные",свежий сочный,17 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
ОЛЬГА,"Мне привезли хорошие сочные персики, буду заказывать дальше...",привезти хороший сочный персик заказывать далёкий,17 мая 2025  · Карта: xxx83,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
ОЛЬГА,"Покупала персики 16 мая в магазине г.Королева совсем не сочные, волокнистые, безвкусные!",покупать персик магазин гкоролева не сочный волокнистый безвкусный,17 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,0,0,0
Катерина,"Сухой, безвкусный персик",сухой безвкусный персик,17 мая 2025  · Карта: xxx52,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,1,0,1
Светлана,"У меня были мелкие ,сочные и очень сладкие !!!",мелкий сочный очень сладкий,17 мая 2025  · Карта: xxx54,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
ВАЛЕНТИНА МАТВЕЕВНА,Для этого времени года вкусный,вкусный,17 мая 2025  · Карта: xxx47,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Виктория,Сухие безвкусные,сухой безвкусный,17 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,1
Павел,"На четверочку,а так,если полежат денек то самое оно,мне понравились",четверочкуа такести полежать денёк ономня понравиться,17 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,1,1,0
Ольга,"ООчень, очень, просто очень кислый персик. Покупка 14.05., магазин на Ивана Сусанина, Кострома",оочень очень просто очень кислый персик покупка магазин иван сусанин кострома,17 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,2,382,руб,/кг,0,0,0
ВЕРА,Не сочный волокнистый,не сочный волокнистый,17 мая 2025  · Карта: xxx43,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Юлия,"Персики 🍑 безумно вкусные, невероятно сочные и очень сладкие. Египту и ВВ респект 👍",персик безумно вкусный невероятно сочный очень сладкий египет респект,17 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Ольга,"Сладкие, сочные, спелые.",сладкий сочный спелый,17 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Эльвира,"Мелкие, жестковатые, но сладкие и спелые.",мелкий жестковатый сладкий спелый,17 мая 2025  · Карта: xxx56,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Любовь,Безвкусные,безвкусный,17 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,1,0,1
Сергей,Вялые персики и слишком маленькие,вялый персик слишком маленький,17 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Наталия,"Персики неплохие,но я сама выбирала в магазине)",персик неплохиить выбирать магазин,17 мая 2025  · Карта: xxx23,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,0
СВЕТЛАНА,"Покупала в магазине очень вкусные,привезли доставку совсем другие по вкусу,не понравилось",покупать магазин очень вкусныепривезти доставка вкусуна понравиться,17 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,1
