"annotation_id","annotator","comment","created_at","id","lead_time","sentiment","target_by_RuBRT-tiny_no_processing","target_by_RuBRT-tiny_processing","target_by_stars","updated_at"
103,"2","До сегодня привозили отличную. Сегодня лежалая со следами порчи и мягкая, пачкает все(","2025-05-21T13:24:02.831855Z",601,9.393,"0",1,1,0,"2025-05-21T13:24:02.831896Z"
104,"2","Яблоки уже отживают свое, становясь мягкими.","2025-05-21T13:24:11.214744Z",602,7.929,"0",0,0,1,"2025-05-21T13:24:11.214807Z"
105,"2","Розовый по цвету, местами битый, совершенно несладкий","2025-05-21T13:24:17.419165Z",603,5.829,"0",0,0,0,"2025-05-21T13:24:17.419203Z"
106,"2","Очень и очень вкусные сладкие яблоки! Беру постоянно , съедаются быстро. Раньше почему то были они не такие хорошие, возможно сменился поставщик и последнее время эти яблочки потрясающие","2025-05-21T13:24:24.657218Z",604,6.863,"1",1,1,1,"2025-05-21T13:24:24.657271Z"
107,"2","Совсем не медовая,...","2025-05-21T13:24:28.453726Z",605,3.437,"0",0,0,1,"2025-05-21T13:24:28.453764Z"
108,"2","На вкус не очень - привкус плесени с землёй, нет свекольной сладости и вкуса. Хотя выглядит очень даже хорошо, свежая.","2025-05-21T13:24:33.482506Z",606,4.666,"0",0,0,0,"2025-05-21T13:24:33.482545Z"
109,"2","Спелый, ароматный","2025-05-21T13:24:37.008607Z",607,3.168,"1",1,1,1,"2025-05-21T13:24:37.008646Z"
110,"2","Очень сладкие и в меру сочные мандарины 🍊","2025-05-21T13:24:40.947565Z",608,3.521,"1",1,0,1,"2025-05-21T13:24:40.947603Z"
111,"2","Виноград шикарный, сладкий, в меру твердоват. Рекомендую","2025-05-21T13:24:44.174674Z",609,2.814,"1",1,1,1,"2025-05-21T13:24:44.174707Z"
112,"2","Взяла зелёный банан. Как всегда вкусный","2025-05-21T13:24:50.491459Z",610,5.988,"1",1,1,1,"2025-05-21T13:24:50.491502Z"
113,"2","Вкусные, кожица не тонкая, средней сочности","2025-05-21T13:24:56.160697Z",611,5.283,"1",1,1,1,"2025-05-21T13:24:56.160731Z"
114,"2","За такую цену отличные помидоры 🍅","2025-05-21T13:24:59.158709Z",612,2.631,"1",1,1,1,"2025-05-21T13:24:59.158739Z"
115,"2","Не сладкая (","2025-05-21T13:25:02.215494Z",613,2.679,"0",0,0,0,"2025-05-21T13:25:02.215533Z"
116,"2","Хорошая свёкла попалась.","2025-05-21T13:25:05.757571Z",614,3.163,"1",1,1,1,"2025-05-21T13:25:05.757609Z"
117,"2","Свежий, вкусный перец. Порадовала персональная скидка на него","2025-05-21T13:25:09.892913Z",615,3.749,"1",1,1,1,"2025-05-21T13:25:09.892951Z"
118,"2","Помидоры отвратительные, режутся по звуку, как яблоко. Вкус никакой, благо взяла чуть-чуть. Ещё и привезли один из трёх повреждённый.","2025-05-21T13:25:14.494223Z",616,4.23,"0",0,0,0,"2025-05-21T13:25:14.494275Z"
119,"2","Много битого картофеля","2025-05-21T13:25:17.733224Z",617,2.876,"0",0,0,0,"2025-05-21T13:25:17.733294Z"
120,"2","Вкусная дыня!","2025-05-21T13:25:20.594339Z",618,2.508,"1",1,1,1,"2025-05-21T13:25:20.594376Z"
121,"2","Отвратительная картошка , вся разная по размеру зеленая . Зачем кладите в заказ то что вас не просят предупреждаешь пишешь и положили г ….","2025-05-21T13:25:24.352595Z",619,3.405,"0",0,0,0,"2025-05-21T13:25:24.352634Z"
122,"2","Капуста внутри пустая. Маленький выглядит так будто бы обчистили листья с большого","2025-05-21T13:25:29.716371Z",620,4.932,"0",0,0,0,"2025-05-21T13:25:29.716412Z"
123,"2","Крупно порезано, немного кислит","2025-05-21T13:25:34.023147Z",621,3.946,"0",0,0,0,"2025-05-21T13:25:34.023187Z"
124,"2","Вкусные молодые огурцы. Плоды свежие и хрустящие. Не переросли, семян внутри мало. Не водянистые.","2025-05-21T13:25:39.383415Z",622,4.995,"1",0,1,1,"2025-05-21T13:25:39.383448Z"
125,"2","Отнеслась с недоверием к отзывам. Поставила любимым продуктом, заказала внукам, детям и себе. Клубника с виду красивая отборная, ягодки одна к одной, сборщику спасибо большое. На вкус... А вкуса вообще нет. Или пресная, или кислятина, запаха клубники вообще нет. Тройку поставила за добросовестную сбору, а так бы только 1","2025-05-21T13:25:58.959700Z",623,19.186,"0",0,0,0,"2025-05-21T13:25:58.959744Z"
