author,comment,date,url,product,stars,price,currency,weight
Анастасия,Зеленые,17 мая 2025  · Карта: xxx03,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",3,277,руб,/шт
Ольга,Мне попались крайне странные - в них как будто люфа (!!!) - есть противно,17 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",2,277,руб,/шт
ТАТЬЯНА ЮРЬЕВНА,Очень вкусно,17 мая 2025  · Карта: xxx32,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",5,277,руб,/шт
Алёна Е.,"Немного кисловаты и не сочные, но не время еще, для раннего времени года, нормально",16 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",4,277,руб,/шт
Елена,"Хорошие, спелые, есть кислинка",16 мая 2025  · Карта: xxx19,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",5,277,руб,/шт
Дмитрий,Пахнет подвалом!,16 мая 2025  · Карта: xxx91,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",3,277,руб,/шт
Ольга,С кислинкой. Но вкусные,16 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",5,277,руб,/шт
ЛЮДМИЛА,"Абрикосы привезли хорошие, но в одном из двух контейнеров недовес в 100г бросается в глаза сразу. Неприятно.",16 мая 2025  · Карта: xxx13,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",4,277,руб,/шт
Анна,"Мягкий, сочный, но немного горьковатый",15 мая 2025  · Карта: xxx35,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",4,277,руб,/шт
Анита,"Без вкуса, без запаха, мясистые, сочные. Почти не твёрдые. Не кислые, слабо сладкие. Турция, от 10.05.
Действительно, через пару дней намного лучше.",15 мая 2025  · Карта: xxx95,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",4,277,руб,/шт
Анастасия,"Вкусные, те которые целые, но пришли и подгнившие с плесенью",15 мая 2025  · Карта: xxx06,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",1,277,руб,/шт
Сергей,Вкусные сочные абрикосы,14 мая 2025  · Карта: xxx63,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",5,277,руб,/шт
Мария,Без вкуса,14 мая 2025  · Карта: xxx65,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",3,277,руб,/шт
Татьяна,"Не сладкие, как трава",14 мая 2025  · Карта: xxx69,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",3,277,руб,/шт
Елена,"Очень вкусные абрикосы для начала сезона!❤️. Кисло-сладкие, сочные и когда ешь ощущаешь настоящий абрикос, а не ""пустой"" вкус!",13 мая 2025  · Карта: xxx28,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",5,277,руб,/шт
Ольга,Покислее узбекский. Вкусные сочные.,13 мая 2025  · Карта: xxx62,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",5,277,руб,/шт
Ирина,Химический привкус,13 мая 2025  · Карта: xxx54,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",2,277,руб,/шт
Виктория,Кислый вкус,13 мая 2025  · Карта: xxx03,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",4,277,руб,/шт
Натал Я,"Сочные, полезные",12 мая 2025  · Карта: xxx92,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",5,277,руб,/шт
Ирина,"Кислые хоть и спелые, не понравились совсем",12 мая 2025  · Карта: xxx88,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",3,277,руб,/шт
ЕКАТЕРИНА,Безвкусные,11 мая 2025  · Карта: xxx19,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",3,277,руб,/шт
Татьяна,Абрикосы дозревали видимо сорванными и поэтому нет сладости и сочности . вкуса абрикосы тоже нет. видимо ещё рано их покупать,11 мая 2025  · Карта: xxx58,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",3,277,руб,/шт
Светлана Или Любовь,"У меня мягкие, но никакие. Так на раз взять и понять что рано и успокоится. По мне лучше бы они были зелёные, твёрдые и кислые - чтобы есть с солью. Или сладкие как летом, чтобы просто есть и чувствовать вкус.",11 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",4,277,руб,/шт
Шамиль,Для мая норм,10 мая 2025  · Карта: xxx78,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",4,277,руб,/шт
Елена,Неплохо для мая,10 мая 2025  · Карта: xxx63,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",4,277,руб,/шт
Катина Олеся Сергеевна,"В принципе, не плохие.. Но, скорее всего не доспевшие, плотные, сладости побольше хотелось бы. Поздно прочитала, что нужно было в бумажном пакете подержать, уже всё съели)",10 мая 2025  · Карта: xxx55,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",4,277,руб,/шт
Покупатель,Как трава. Ни сладости ни вкуса,10 мая 2025  · Карта: xxx10,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",3,277,руб,/шт
Ирина,"Нет вкуса и аромата, как резина.",10 мая 2025  · Карта: xxx81,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",1,277,руб,/шт
Татьяна,Совершенно невкусные и кислые,09 мая 2025  · Карта: xxx16,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",3,277,руб,/шт
ЯНА,"Спелые абрикосы, сладкие",09 мая 2025  · Карта: xxx44,https://vkusvill.ru/goods/abrikos-mersin-500-g-64648.html,"Абрикос Мерсин, 500 г",5,277,руб,/шт
