author,comment,date,url,product,stars,price,currency,weight
Любовь,Сладкие абрикосы! Очень вкусные!,18 мая 2025  · Карта: xxx50,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",5,370,руб,/шт
Галина,Понравились. Вкусные.,18 мая 2025  · Карта: xxx27,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",5,370,руб,/шт
Олеся,Очень вкусные!,17 мая 2025  · Карта: xxx17,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",5,370,руб,/шт
Екатерина,"Вкуснее, чем на рынке, не водянистые !",17 мая 2025  · Карта: xxx51,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",4,370,руб,/шт
Елена,Безвкусные и не сочные!,17 мая 2025  · Карта: xxx28,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",1,370,руб,/шт
Елена,Спелые достаточно сладкие абрикосы.,17 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",5,370,руб,/шт
Ольга,"50% твёрдых. Ну да ладно. Ароматные. Те, что полностью созрели, очень понравились.",17 мая 2025  · Карта: xxx16,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",4,370,руб,/шт
Екатерина,Жесткий и не вкусный .,17 мая 2025  · Карта: xxx56,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",3,370,руб,/шт
ЭЛИНА,Не особо спелый. Твёрдый. Кисло -сладкий.,16 мая 2025  · Карта: xxx91,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",3,370,руб,/шт
Елена,"Отличные абрикосы, сочные, мягкие, спелые, в меру сладкие",16 мая 2025  · Карта: xxx75,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",5,370,руб,/шт
"Мы Нашли Вашу Карту, Ее Номер","Абрикосы с учетом не сезона очень вкусные но не все. Есть недозрелые но это нормально. Полежат некоторое время , дозреют и это хорошо.",16 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",5,370,руб,/шт
Марта,"Две звезды за два более менее мягких абрикоса
Недозрелые",15 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",2,370,руб,/шт
Ольга,Очень вкусные мягкие сочные сладкие абрикосы.,15 мая 2025  · Карта: xxx62,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",5,370,руб,/шт
ОЛЬГА АЛЕКСАНДРОВНА,Вкусные,15 мая 2025  · Карта: xxx77,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",5,370,руб,/шт
Людмила,"Очень вкусно!!!!! Свежие, вкусные, в меру сладкие. Ребенок поел с удовольствием",15 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",5,370,руб,/шт
ГАЛИНА,Привезли зеленые абрикосы.,15 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/abrikos-ferganskiy-500-g-77144.html,"Абрикос Ферганский, 500 г",1,370,руб,/шт
