author,comment,date,url,product,stars,price,currency,weight
Анна,"Ананас в круглой пластиковой банке с крышкой был идеален, а в квадратных и широких круглых-кислятина. Разделите товар по поставщикам, чтобы было понятно, что заказываешь.",17 мая 2025  · Карта: xxx35,https://vkusvill.ru/goods/ananas-ochishchennyy-500-g-83606.html,"Ананас очищенный, 500 г",1,710,руб,/шт
Елена,Очень вкусно!!!!,16 мая 2025  · Карта: xxx61,https://vkusvill.ru/goods/ananas-ochishchennyy-500-g-83606.html,"Ананас очищенный, 500 г",5,710,руб,/шт
Ольга,"Много раз покупала, всё было отлично! Эта партия в больших банках не понравилась, в ананасе много кислоты, весь рот жжёт, отвратительно за такие деньги",16 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/ananas-ochishchennyy-500-g-83606.html,"Ананас очищенный, 500 г",1,710,руб,/шт
Юлия,"Ананас кислый, либо сорт, либо неспелый, но есть без прищура невозможно",16 мая 2025  · Карта: xxx46,https://vkusvill.ru/goods/ananas-ochishchennyy-500-g-83606.html,"Ананас очищенный, 500 г",1,710,руб,/шт
Тамара Васильевна,Подгнивший и деревянный,16 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/ananas-ochishchennyy-500-g-83606.html,"Ананас очищенный, 500 г",1,710,руб,/шт
Светлана,"Берём часто, упаковка с крышкой гораздо лучше была",16 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/ananas-ochishchennyy-500-g-83606.html,"Ананас очищенный, 500 г",5,710,руб,/шт
Татьяна,Отличные свежие и сочные ломти ананаса. Вкусно и удобно.,16 мая 2025  · Карта: xxx54,https://vkusvill.ru/goods/ananas-ochishchennyy-500-g-83606.html,"Ананас очищенный, 500 г",5,710,руб,/шт
Виктория,"Вкусно очень)сладкий , сочный ))",16 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/ananas-ochishchennyy-500-g-83606.html,"Ананас очищенный, 500 г",5,710,руб,/шт
Евгения,"Ахрененный ананас,сочный,вкусный,очень понравился 🔥❤️",15 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/ananas-ochishchennyy-500-g-83606.html,"Ананас очищенный, 500 г",5,710,руб,/шт
Юлия,"Отличная задумка - чистить не надо, вырезать сердцевину- не надо, сладкий, сочный, хорошего сорта, мы с мужем просто урчим от такой вкусноты",15 мая 2025  · Карта: xxx75,https://vkusvill.ru/goods/ananas-ochishchennyy-500-g-83606.html,"Ананас очищенный, 500 г",5,710,руб,/шт
