author,comment,date,url,product,stars,price,currency,weight
Владимир,Слабоватый вкус,17 мая 2025  · Карта: xxx34,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг
АНГЕЛИНА,"Да, что такое, ВВ! Если не сезон уже, этим апельсинам почему такая безумная цена! Да и вообще удалите из продажи! Надоело негатив строчить на ваш портал!",17 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг
Константин,"150 рублей за штуку должен стоить совсем другой апельсин
Эти были хоть и крупные, но не сочные, не сладкие и как-будто уже давно уставшие от хранения плоды",17 мая 2025  · Карта: xxx69,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг
Надежда,Сухие,16 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг
Татьяна,"Уже не сочные, т.к. сорвали, когда уже внутри новые апельсин созревал.",16 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг
Елена,Положили испорченные апельсины. Внутри чёрный.,16 мая 2025  · Карта: xxx77,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг
Любовь,Уже сухие.,16 мая 2025  · Карта: xxx06,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг
Виталий,"Хорошие сладкие апельсины, редко правда бывают",15 мая 2025  · Карта: xxx35,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг
Владимир,"Сухие внутри, не сочные. Увы, брать не советуем.",15 мая 2025  · Карта: xxx47,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг
Валентина,"Купила 1 апельсин весом 400 гр. очень сладкий, сочный. Кожица толстая.",14 мая 2025  · Карта: xxx98,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг
АЛЕКСАНДР,Почему апельсины такие сухие? Их предварительно осушили?,14 мая 2025  · Карта: xxx09,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг
Виалта Мск,"Сочные, сладкие, вкусные! Мне очень нравятся.",14 мая 2025  · Карта: xxx69,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг
Наталья,"Покупала в магазине - крупные, сочные, ароматные",13 мая 2025  · Карта: xxx46,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг
Виталий,"Подсовывают мелкие при заказе доставки. Платишь за крупные, получаешь совсем другой сорт.",13 мая 2025  · Карта: xxx70,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг
АЛЛА,"Месяц назад были сочные и сладкие, сейчас покупаю сухие, невкусные",13 мая 2025  · Карта: xxx64,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг
Ирина,"Вкусные, сочные апельсины!
Хоть и брала по ЗЦ",13 мая 2025  · Карта: xxx84,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг
ЮЛЯ,сухие,13 мая 2025  · Карта: xxx64,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг
Любовь СЕРГЕЕВНА,"Апельсин внутри сухой, безвкусный! Покупала в магазине 11 мая.",12 мая 2025  · Карта: xxx21,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг
ГАЛИНА,"Сухие, невкусные",12 мая 2025  · Карта: xxx80,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг
Валерия,Ватная мякоть,11 мая 2025  · Карта: xxx91,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг
СВЕТЛАНА ЮРЬЕВНА,"Апельсины сладкие, но суховаты",11 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг
ОЛЬГА,Сухие,11 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,3,310,руб,/кг
СВЕТЛАНА СТАНИСЛАВОВНА,Очень вкусные апельсины,10 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг
Валерия,"просто класс, сочные спелые сладкие",10 мая 2025  · Карта: xxx86,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг
Светлана,"Раньше были крупные, мясистые. Последняя доставка меньшего размера, не такие сладкие и более водянистые.",10 мая 2025  · Карта: xxx44,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг
Анастасия,"отличные, сочные",10 мая 2025  · Карта: xxx02,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг
Олеся,Очень сладкие крупные,10 мая 2025  · Карта: xxx04,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг
Николай,Заказываю разные апельсины в одном заказе - непонятно какой в итоге оцениваю. Но большая часть заказа мелкая ерунда,10 мая 2025  · Карта: xxx54,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,1,310,руб,/кг
Татьяна,Не очень сочные,09 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг
Любовь,Апельсины с толстой кожей и уже не сочные,09 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,4,310,руб,/кг
Анна,"Сочные, сладкие, крупные - 3 апельсина =2 кг",08 мая 2025  · Карта: xxx02,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,5,310,руб,/кг
АНАСТАСИЯ,По краям все сухое. Сочная только середина. Перепонки женские. В целом не вкусно.,08 мая 2025  · Карта: xxx89,https://vkusvill.ru/goods/apelsiny-krupnye-21621.html,Апельсины крупные,2,310,руб,/кг
