author,comment,date,url,product,stars,price,currency,weight
Лена,"Полное разочарование. Первый раз заказывали 9 мая. Был хороший. Второй раз заказала. Отвратительный. Битый. Перезревший. Сладости никакой. Когда читала отзывы и видела плохие думала люди привереды. Но как оказалось первый купленный арбуз это исключение из правил. Больше не куплю и всем буду говорить, что выброшенные деньги.",17 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Ирина,Купили арбуз. Незрелый. Не вкусный. Жаль потраченных денег,17 мая 2025  · Карта: xxx83,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
МАРИНА,"Спасибо девушке- сборщику , выбрала вкусный арбузик 👍 сахарный, красный, вкус лета 👌",17 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
МАРИЯ,"просто отвратительно. Мягкий, бледно-розовый, совершенно несладкий. Ничего общего с картинкой",17 мая 2025  · Карта: xxx55,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Анна,Пресный вкус,17 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Гульнара,Не спелый и не сладкий. Мякоть красная( только это и напоминает арбуз) хрустит как огурец. Вкуса нет абсолютно никакого. Даже на смузи не годится. Деньги в мусорку.,17 мая 2025  · Карта: xxx47,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Диана,Весь в химикатах. Невкусно совершенно,16 мая 2025  · Карта: xxx61,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Мухамед,"На картинке эталон, а на самом деле какой-то вялый фрукт, да еще и розового цвета, как-будто не спелый. Не рекомендую к покупке",16 мая 2025  · Карта: xxx78,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,3,178,руб,/кг
Марина,"Этот арбуз - лотерея. В прошлый раз - сочный, спелый, вкусный. В этот раз - бледный, не сладкий, ватный. Не понравился. Съели несколько кусочков, остальное выбросили.",16 мая 2025  · Карта: xxx31,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Альбина,Потрясающий арбуз! Достался крупный. Таких сладких летом не всегда найдешь! Сахарный. 🤩 восторг!,16 мая 2025  · Карта: xxx65,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
СВЕТЛАНА ВЛАДИМИРОВНА,"Ужас-ужас !! Почитала отзывы , и зря не прислушалась . На выброс . Мало цвет розовый, он просто вялый !! Снимите срочно с продаж !!",16 мая 2025  · Карта: xxx09,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Елена,"Арбуз неспелый, несладкий. Семечки белые, хотя арбуз большой",16 мая 2025  · Карта: xxx96,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
АЛЕКСАНДР,"Внешне был прекрасен! Красный, семечки мелкие, кожура тонкая, но ВКУС просто отсутствует! Нет даже намека на сладость и арбузный вкус! Очень обидно!!!",16 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Ирина,"Шикарный арбуз, маленький, меньше 6 кг, но сладкий, сочный",16 мая 2025  · Карта: xxx21,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Нелли,"Дорогой розовый недоспелый арбуз в качестве мочегонного средства и клетчатки годится. Арбуз совершенно не сладкий, в середине только чуть сладковат. Ему бы дозреть, но увы...",16 мая 2025  · Карта: xxx27,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,3,178,руб,/кг
Мария,"Допускала, что может быть не сладкий, но чтобы вялая внутри мякоть (как если бы мякоть разрезанная лежала на воздухе сутки) это уже перебор. Ждём июль 😏",15 мая 2025  · Карта: xxx67,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Сергей,"Очень хороший, сладкий",15 мая 2025  · Карта: xxx27,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Светлана,"Арбуз бледный, средненький. До сахарного ему далеко. Хоть и был 7кг, но не дозрел еще.",15 мая 2025  · Карта: xxx88,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,3,178,руб,/кг
ВЕРА,"Вялый внутри, не вкусный.",15 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Сергей,Отличные арбузы,15 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
ЭЛИНА,Арбуз стоимость 1033 залежавший,15 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Александр,"Москва, автозаводская 24.
Первые приезжали потрясающие, предпоследние 2 - ну такое, последний просто треш. Бледный, с артефактами на кожуре. Изнутри весь мягкий, водяной.
Надеюсь следующая партия будет достойнее, в данный момент не рекомендую..",15 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Мария,"На четверочку, но я брала небольшой. Думаю, если взять покрупнее, то он будет слаще. Буду эксперементировать",15 мая 2025  · Карта: xxx60,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Алла,"Иранские в это время по плану должны быть спелые, но нет. Розовая водичка( дорогая розовая водичка",15 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Юлия,"Сам алый сахарный, кафтан зелёный бархатный. Шикарный арбуз 🍉
P. S. Вес 16990 кг",14 мая 2025  · Карта: xxx46,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Елена,"Неплохой, но не вау",14 мая 2025  · Карта: xxx04,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,4,178,руб,/кг
Марина,"Очень сладкий, сочный, спелый",14 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Иван Анатольевич,Отсутствует какой-либо вкус.. выкинули,14 мая 2025  · Карта: xxx64,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Виктория,"Арбуз, к сожалению, никакой. Хотя до этого брали хорошие. Ни вкуса, ни запаха, да и консистенция не очень - водянистый",14 мая 2025  · Карта: xxx97,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Александр,Наполовину испорченный попался так хороший звонкий с виду внутри сладкий но после разрезания пошла мягкая кислота видать был уколот чем-то тонким и загнил изнутри может еще что-то за такие деньги могли бы и качество предоставить,14 мая 2025  · Карта: xxx52,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
ОЛЬГА,"Мне попался вкусный арбуз.
Сочный, сладкий.
Но огромный - 10кг.
Придется ближайшие два дня всей семьёй есть только его))",14 мая 2025  · Карта: xxx30,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
АЛЕКСЕЙ,"Решили взять, тем более по зеленому ценнику, попробовать арбуз, в описании написано сейчас самый сезон. Продавец позвонил, предупредил почему он по зеленому ценнику, что он немного отбит, с этим согласились, если будет вкусный, то не страшно. В итоге пришел арбуз, внешне нормальный, в разрезе красивый, на вкус просто никакой, как трава, ерунда полная",14 мая 2025  · Карта: xxx86,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,3,178,руб,/кг
Анастасия,"Очень вкусный) купила 8 кг. Внутри красный, мягкость сладкая.",13 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Евгения,Арбуз попался не очень. Хотя иранские арбузы сейчас очень вкусные,13 мая 2025  · Карта: xxx29,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,3,178,руб,/кг
Кирилл,"Очень толстая кожура, мягкий, вкуса особо нет",13 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Полина,Мягкий гнилой внутри,13 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Наталия,"Совсем не сладкий,мягкий как будто прокисший(",13 мая 2025  · Карта: xxx05,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Корчагин Сергей Валерьевич,Практически безвкусный (,13 мая 2025  · Карта: xxx30,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,3,178,руб,/кг
Виген,"Пришёл сладкий, хрустящмй, как только что с грядки. Причём брали по ЗЦ.",13 мая 2025  · Карта: xxx19,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Анна,"Заказал два арбуза. Оба на вид красные и косточки темные, но оказались вообще не сладкие.",12 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Марина,Абсолютно бесчувственный и дряблый . По вкусу как мыло((,12 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
ИРИНА,"Не съедобный,битый арбуз",12 мая 2025  · Карта: xxx70,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Андрей,Дряблый и кислит,12 мая 2025  · Карта: xxx05,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,3,178,руб,/кг
Лена,"Нам повезло. Ароматный и очень сладкий. Сочный. Покупали в Саларьево, Москва.",11 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Анастасия,"Арбуз привезли перезрелый, прелый
Такой кушать нельзя",11 мая 2025  · Карта: xxx28,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Евгения,Арбуз космический! Такой сладкий даже летом не всегда встретишь.,11 мая 2025  · Карта: xxx55,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Анна,"Отличный, зрелый, сахарный!",11 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Покупатель,"Был бы вкусный арбуз,если бы не забродил!",11 мая 2025  · Карта: xxx33,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Ольга,Ни цвета ни вкуса,11 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
ИРИНА,Совершенно не сладкий!!!!!,11 мая 2025  · Карта: xxx29,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,3,178,руб,/кг
Анастасия,"Последние 2 поставки не сладкий, недозрел",11 мая 2025  · Карта: xxx32,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,3,178,руб,/кг
МАРИНА,"Арбуз безвкусный, хотя по виду и звуку спелый.",11 мая 2025  · Карта: xxx28,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Елена,"Спасибо огромное сборщикам, привезли на доставку отличный сладкий, сахарный арбуз!",11 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Лилия,Не спелый,11 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Денис,"На вкус ужасен, как будто перезрелый и перележал на солнце. Просто гнилая вода",11 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Нелли,"Вышел на 11кг, пришлось звать друзей. Сахарный, очень вкусный!",11 мая 2025  · Карта: xxx05,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
НАТАЛЬЯ ОЛЕГОВНА,"Написано было, что медовый. Но это оказалось полностью не так. Не сладкий абсолютно.",11 мая 2025  · Карта: xxx78,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,3,178,руб,/кг
Марина,"Еле сладкий,, розовый, не похоже что это иранский как заявлено, скорее как из Ашана или Пятерочки ((( Просто 3 раза брала у частников иранские, это были просто мед, очень спелые и сочные. А во Вусвилле - как будто под видом иранского продают ширпотреб((",10 мая 2025  · Карта: xxx45,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Юлия,"Арбуз привезли 10.05 в москве, район марьино. Сладкий и сочный 8кг, даже не ожидала.",10 мая 2025  · Карта: xxx95,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
Светлана,Вялый и не сладкий,10 мая 2025  · Карта: xxx89,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,4,178,руб,/кг
КРИСТИНА,"Очень долго думала заказывать или нет, но по итогу нам попался спелый , вкусный, сочный арбуз",10 мая 2025  · Карта: xxx47,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
ЕЛЕНА,"Хороший , сладкий , сочный арбуз 🍉",10 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,5,178,руб,/кг
МАРИЯ,"Не покупайте
Арбуз розовый, водянистый, абсолюно не сладкий, трава травой
За 1200 просто кошмар",10 мая 2025  · Карта: xxx29,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,1,178,руб,/кг
Елена,"Розовый по цвету, местами битый, совершенно несладкий",10 мая 2025  · Карта: xxx71,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
Gulnara,"Красный, но не вкусный вообще",10 мая 2025  · Карта: xxx11,https://vkusvill.ru/goods/arbuz-iran-22413.html,Арбуз Иран,2,178,руб,/кг
