author,comment,date,url,product,stars,price,currency,weight
Диана,"Авокадо привезли абсолютно незрелым, твердым, положила в бумажный пакет в надежде, что поспеет, но авокадо просто завяло, все 3 пачки",17 мая 2025  · Карта: xxx17,https://vkusvill.ru/goods/avokado-khass-2-sht-21270.html,"Авокадо Хасс, 2 шт",3,270,руб,/шт
ОЛЬГА ВАЛЕНТИНОВНА,"Несколько раз подряд заказывала набор авокадо из 2 шт. Всегда доставляли нужной спелости, готовые к употреблению. Я довольна.

покупала набор авокадо из 2 шт. Всегда приходили спелые, я довольна.",17 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/avokado-khass-2-sht-21270.html,"Авокадо Хасс, 2 шт",5,270,руб,/шт
Дмитрий,"Зеленый настолько, что невозможно резать и употреблять в пищу.",17 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/avokado-khass-2-sht-21270.html,"Авокадо Хасс, 2 шт",3,270,руб,/шт
Людмила,"Раньше было идеальное авокадо, сейчас часто твёрдое попадается.",17 мая 2025  · Карта: xxx64,https://vkusvill.ru/goods/avokado-khass-2-sht-21270.html,"Авокадо Хасс, 2 шт",4,270,руб,/шт
ОЛЬГА,Хорошие,17 мая 2025  · Карта: xxx80,https://vkusvill.ru/goods/avokado-khass-2-sht-21270.html,"Авокадо Хасс, 2 шт",5,270,руб,/шт
Татьяна,"Опять авокадо плохие достались. Жёсткие, незрелые, без вкуса, даже горчат.",17 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/avokado-khass-2-sht-21270.html,"Авокадо Хасс, 2 шт",2,270,руб,/шт
Наталья,Незрелый.Один разрезала.Второй папу дней лежал на столе так и не дозрел.Не стоят этих денег.Ушли в помойку,17 мая 2025  · Карта: xxx77,https://vkusvill.ru/goods/avokado-khass-2-sht-21270.html,"Авокадо Хасс, 2 шт",1,270,руб,/шт
Юлия,Вкусные,17 мая 2025  · Карта: xxx24,https://vkusvill.ru/goods/avokado-khass-2-sht-21270.html,"Авокадо Хасс, 2 шт",5,270,руб,/шт
ЮЛИЯ ДМИТРИЕВНА,Наполовину гнилые.,17 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/avokado-khass-2-sht-21270.html,"Авокадо Хасс, 2 шт",1,270,руб,/шт
ТАТЬЯНА МИХАЙЛОВНА,"Ужасно! Одно из авокадо оказалось абсолютно испорченным : черного цвета с косточкой, покрытой плесенью, хотя на ощупь было достаточно твердым. Второе - менее испорченное, но к употреблению все равно не пригодно! А цена 285 рублей! Не рекомендую! В надежде сэкономить купить две штуки, вместо одного примере по той же цене, в итоге все на выброс !",17 мая 2025  · Карта: xxx74,https://vkusvill.ru/goods/avokado-khass-2-sht-21270.html,"Авокадо Хасс, 2 шт",1,270,руб,/шт
Екатерина,"Авокадо твердые, не дозрели даже за несколько дней. Тот, который помягче, разрезали - вилкой не мнется, только режется, выделяя сок. Однородности и мягкости, как у Хаас, нет и в помине. Не соответствует описанию, а также своей цене",17 мая 2025  · Карта: xxx45,https://vkusvill.ru/goods/avokado-khass-2-sht-21270.html,"Авокадо Хасс, 2 шт",3,270,руб,/шт
