author,comment,date,url,product,stars,price,currency,weight
Алина,Сладкие,17 мая 2025  · Карта: xxx10,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Елена,Сладкие,17 мая 2025  · Карта: xxx62,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Наталья Сазонец,"Хорошие большие бананы. Не совсем спелые, но день-два и становятся спелыми и сладкими",17 мая 2025  · Карта: xxx01,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Татьяна,"Сегодня в заказе принесли гигантские кормовые бананы (как положено - недозрелые). Ужасное зрелище! Раньше закупали нормальные, средней величины, годные для приличного стола.",17 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/banany-731.html,Бананы,1,178,руб,/кг
Вера,"Бананы все черные, перезревшие. Все выкинули в мусорное ведро.",17 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/banany-731.html,Бананы,2,178,руб,/кг
Анжелика,Хорошие бананы,17 мая 2025  · Карта: xxx67,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Майя,Брала по ЗЦ обычные,17 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/banany-731.html,Бананы,4,178,руб,/кг
Ирина,Вкусные бананы даже по скидке,17 мая 2025  · Карта: xxx72,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
НАДЕЖДА,Внутри оказались черными (,17 мая 2025  · Карта: xxx17,https://vkusvill.ru/goods/banany-731.html,Бананы,1,178,руб,/кг
Людмила,Вкусные,17 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Надежда,Вся связана с коричневыми «каменными» вкраплениями,17 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/banany-731.html,Бананы,3,178,руб,/кг
Покупатель,Постоянно нет в наличии,17 мая 2025  · Карта: xxx05,https://vkusvill.ru/goods/banany-731.html,Бананы,1,178,руб,/кг
Mariya,"Всегда покупаю тут бананы и чаще всего приезжают очень вкусные и спелые, но не сегодня. Приехали зеленые бананы, плохо чистятся, на вкус недозрелые.",17 мая 2025  · Карта: xxx17,https://vkusvill.ru/goods/banany-731.html,Бананы,1,178,руб,/кг
Елена,По ЗЦ привезли хорошие бананы,17 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
АНАСТАСИЯ,В последнее время бананы в ВВ всё помятые и внутри с пятнами,17 мая 2025  · Карта: xxx27,https://vkusvill.ru/goods/banany-731.html,Бананы,3,178,руб,/кг
Алена,"Уже несколько раз привозят зеленые бананы,спелые они только на картинке,к сожалению",17 мая 2025  · Карта: xxx03,https://vkusvill.ru/goods/banany-731.html,Бананы,2,178,руб,/кг
Марина,"Вкус мыла.зеленые.положила зреть,дозрели и на вкус мыло.",17 мая 2025  · Карта: xxx88,https://vkusvill.ru/goods/banany-731.html,Бананы,2,178,руб,/кг
Я,Бананы замечательные перекус то что надо,17 мая 2025  · Карта: xxx60,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
ЕКАТЕРИНА СЕРГЕЕВНА,Привезли зелёные совершенно неспелые бананы,17 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/banany-731.html,Бананы,3,178,руб,/кг
ЮРИЙ,Зеленые приехали,17 мая 2025  · Карта: xxx45,https://vkusvill.ru/goods/banany-731.html,Бананы,2,178,руб,/кг
Лидия,"И по цвету, и тем более по вкусу совсем недозрелый и соответственно невкусный",17 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/banany-731.html,Бананы,3,178,руб,/кг
Анастасия,Вкус недоспелого,17 мая 2025  · Карта: xxx01,https://vkusvill.ru/goods/banany-731.html,Бананы,3,178,руб,/кг
Санта,супер,17 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Рита,Отлично,17 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Анна,Постоянно зелёные и битые,17 мая 2025  · Карта: xxx48,https://vkusvill.ru/goods/banany-731.html,Бананы,3,178,руб,/кг
Сергей,Очень вкусные.,16 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
ТАТЬЯНА МИХАЙЛОВНА,Всегда хорошие.,16 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Ирина,По ЗЦ привезли хорошие бананы.,16 мая 2025  · Карта: xxx99,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Анна,Суперцена,16 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Наталья С,Вкусные,16 мая 2025  · Карта: xxx99,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
ЛЮБОВЬ ДМИТРИЕВНА,"Бананы сладкие, всё крепкие, несмотря на скидку",16 мая 2025  · Карта: xxx30,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Светлана,Бананы всегда хорошие привозят,16 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Татьяна,Бананы с гнильцой((,16 мая 2025  · Карта: xxx65,https://vkusvill.ru/goods/banany-731.html,Бананы,1,178,руб,/кг
Лариса,"Внешний вид без нареканий, покупаю в магазине, не доставка. Сердцевина по всей длине серо-грязная склизкая, вкус и привкус брр . Будем ждать возвращения любимых ВкусВилловских ….",16 мая 2025  · Карта: xxx72,https://vkusvill.ru/goods/banany-731.html,Бананы,3,178,руб,/кг
Александра,"Не очень вкусные в последне время, не ароматные. Внутри постоянно черные, хоть и кожура желтая без повреждений.",16 мая 2025  · Карта: xxx16,https://vkusvill.ru/goods/banany-731.html,Бананы,1,178,руб,/кг
Мария,Хорошие,16 мая 2025  · Карта: xxx71,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Елена,Спелые и вкусные 👍,16 мая 2025  · Карта: xxx21,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Светлана,Бананы замечательные!,16 мая 2025  · Карта: xxx48,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
Елизавета,"Хорошие, вкусные",16 мая 2025  · Карта: xxx67,https://vkusvill.ru/goods/banany-731.html,Бананы,5,178,руб,/кг
