author,comment,date,url,product,stars,price,currency,weight
Светлана,"Покупала 2 апреля, отличный был чеснок",16 мая 2025  · Карта: xxx84,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",5,143,руб,/шт
Яна,"Странно , но и у меня особо корешков нет , и подрещано как у китайских . Раньше были густые корешки . Скорей всего Китай … (",15 мая 2025  · Карта: xxx05,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",1,143,руб,/шт
ОЛЬГА ВИКТОРОВНА,"Вчера этот чеснок был с корешками, сегодня все головки чеснока, за исключением двух упаковок,с выбритыми корешками, китайскмй вариант ...что? Всю ночь вынимали фермерский чеснок и засовывали в фиолетовую упаковку китайский выбритый чеснок?",15 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",3,143,руб,/шт
СЕРГЕЙ,"Обычный чеснок по высокой цене. Производство Китай. Подкупает лишь название ""Фермерский"".",14 мая 2025  · Карта: xxx09,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",3,143,руб,/шт
Ирина,"Замечательный крепкий, ароматный чеснок.",14 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",5,143,руб,/шт
ДЕНИС,Похож на китайский чеснок,14 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",3,143,руб,/шт
Любовь,"Чеснок называется фермерским, доставили явно старый, с зелеными проростками, пришлось вырезать, чтобы все не выбрасывать. Очень жаль",14 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",4,143,руб,/шт
Елена,"Чеснок плотный, свежий, сочный. Ароматный.",13 мая 2025  · Карта: xxx77,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",5,143,руб,/шт
АЛЕКСЕЙ,"Обычный чеснок , непонятно почему назван фермерский и дороже",13 мая 2025  · Карта: xxx41,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",3,143,руб,/шт
Анна,Проросший,12 мая 2025  · Карта: xxx46,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",1,143,руб,/шт
