author,comment,date,url,product,stars,price,currency,weight
Михаил,"На вкус не такая сладкая, немного недозревшая.",17 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/dynya-medovaya-aziya-92627.html,Дыня Медовая Азия,3,365,руб,/кг
МАРИЯ,"Совсем не медовая,...",17 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/dynya-medovaya-aziya-92627.html,Дыня Медовая Азия,4,365,руб,/кг
Карта,Забродившая вся,16 мая 2025  · Карта: xxx64,https://vkusvill.ru/goods/dynya-medovaya-aziya-92627.html,Дыня Медовая Азия,1,365,руб,/кг
Диана,Очень вкусная дыня 😋,16 мая 2025  · Карта: xxx71,https://vkusvill.ru/goods/dynya-medovaya-aziya-92627.html,Дыня Медовая Азия,5,365,руб,/кг
Daria,Несладкая,16 мая 2025  · Карта: xxx82,https://vkusvill.ru/goods/dynya-medovaya-aziya-92627.html,Дыня Медовая Азия,4,365,руб,/кг
Покупатель,"Три звезды только из того что предыдущие две дыньки были что надо, но третья имеет горький вкус",15 мая 2025  · Карта: xxx33,https://vkusvill.ru/goods/dynya-medovaya-aziya-92627.html,Дыня Медовая Азия,3,365,руб,/кг
Ли,"К сожалению, несмотря на то, что старались выбрать плод поплотнее, но местами оказалась скисшей.",14 мая 2025  · Карта: xxx06,https://vkusvill.ru/goods/dynya-medovaya-aziya-92627.html,Дыня Медовая Азия,3,365,руб,/кг
Виктория,"Не только не медовая, но и совершенно безвкусная",14 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/dynya-medovaya-aziya-92627.html,Дыня Медовая Азия,1,365,руб,/кг
Сергей,Испорчена,13 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/dynya-medovaya-aziya-92627.html,Дыня Медовая Азия,2,365,руб,/кг
Наталья,Отличная дыня,13 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/dynya-medovaya-aziya-92627.html,Дыня Медовая Азия,5,365,руб,/кг
ИРИНА,"Дыня великолепная, очень сладкая и сочная. Даже не ожидала, что такая вкусная будет. Мякоть мягкая, как у торпеды. Запаха от самой дыни не было вообще. Минус один - очень дорого. Купили по зц.",13 мая 2025  · Карта: xxx96,https://vkusvill.ru/goods/dynya-medovaya-aziya-92627.html,Дыня Медовая Азия,5,365,руб,/кг
