author,comment,date,url,product,stars,price,currency,weight
Карина,Привезли всю пожухлую залежавшуюся мягкую как вата! Главное что в самый ответственный момент украсить торт на др !,18 мая 2025  · Карта: xxx77,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",3,352,руб,/шт
Раиса,Привезли отвратительный гнилые ягоды,17 мая 2025  · Карта: xxx88,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",1,352,руб,/шт
Ирина,"На вкус отлично,но ягоды не отборные(в моем понимании они должны быть одинакового размера),а в коробочках разноколиброка.Не советую переплачивать.",17 мая 2025  · Карта: xxx74,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Анна,Хорошая,17 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Наталья,Это что за безобразие такое?? Слепой сборщик собирал заказ?? Вся голубика вялая и испорченная! Вы с ума посходили такое «отборное» продавать??,17 мая 2025  · Карта: xxx10,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",1,352,руб,/шт
АННА,"Даже по ЗЦ ягода рупная, свежая, вкусная.",17 мая 2025  · Карта: xxx79,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
ИРИНА,Половина ягоды мягкая и мелкая и в целом не очень свежая,17 мая 2025  · Карта: xxx97,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",3,352,руб,/шт
Альбина,"Привезли не крупную, мятую и с плесенью. Товар не соответствует описанию.",17 мая 2025  · Карта: xxx19,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",2,352,руб,/шт
АЛЕКСАНДРА ИВАНОВНА,В целом вкусная.но мне попадаются ягодки гнилые( 4 звезды.,17 мая 2025  · Карта: xxx35,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",4,352,руб,/шт
Евгений,Вкусные даже по зц,17 мая 2025  · Карта: xxx72,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
АННА,"Вкусная, свежая!",17 мая 2025  · Карта: xxx26,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
ТАТЬЯНА,Хорошая,17 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Ольга,"Сегодня ягода свежая, испорченных нет, достаточно но крупная и сладкая- раньше кисловатая была.",17 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Екатерина,Часть ягод почему-то безвкусные.,16 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",4,352,руб,/шт
София,"Хорошие ягоды,но привезли с недовесом. ((",16 мая 2025  · Карта: xxx96,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",4,352,руб,/шт
Викуля,"Всегда беру, но в последнее время вкус стал химозным, ягоды мягкие попадаются очень часто(

Последние 2 упаковки были крайне не удачными",16 мая 2025  · Карта: xxx44,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",3,352,руб,/шт
Алла,"Заказала 2шт отборной по 125 гр, в одной 120 гр это вместе с упаковкой, а во второй 118 гр с упаковкой, не очень это приятно",16 мая 2025  · Карта: xxx80,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",4,352,руб,/шт
Ольга,Очень вкусная и сладкая,16 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
ДАРЬЯ,Брала уже много раз и каждый раз ягоды идеальные!,16 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Арина,Отборная голубика должна быть с плесенью?,16 мая 2025  · Карта: xxx39,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",1,352,руб,/шт
НАТАЛИЯ,"отличные ягоды, пара ягодок были только чуть помяты",16 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Елена,"В целом нормальная голубика, но попадались мелкие кислые ягоды.",15 мая 2025  · Карта: xxx72,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",4,352,руб,/шт
Людмила,"Меньше, чем указанный вес!",15 мая 2025  · Карта: xxx89,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",3,352,руб,/шт
Гульнара,Половина ягод с плесенью. Не стоит таких денег.,15 мая 2025  · Карта: xxx92,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",3,352,руб,/шт
Инна Юрьевна,Половина упаковки испорченные ягоды,15 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",1,352,руб,/шт
Ирина,"Привезли полностью вялую голубику, некоторые ягоды с плесенью!",15 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",1,352,руб,/шт
Rakhima,Много плесневелых(,15 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",3,352,руб,/шт
Алексей Викторович,"Безвкусная, будто незрелая.",14 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",3,352,руб,/шт
Алина,"В последнее время немного расстраивает - да, крупная, но вкуса нет, пресный. Из Ленты такая же по размеру за 200 рублей сладенькая и тоже свежайшая.",14 мая 2025  · Карта: xxx45,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",4,352,руб,/шт
Анна,Отличная,14 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Люба,"Все ок, довольно вкусная голубика. Покупала «отборную» - действительно в коробочке есть очень крупные ягодки. Но все же не как на фото - половина (если не больше) ягод небольшие, как из коробочки с обычной голубикой)",14 мая 2025  · Карта: xxx65,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",4,352,руб,/шт
Людмила,"На эти ягоды смотреть можно, а есть - противно. Мягкие и безвкусные.",14 мая 2025  · Карта: xxx28,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",2,352,руб,/шт
Александр,"Отборная это видимо кто-то ее отбирает из упаковки, так? Невооруженным взглядом было видно что в упаковке 2/3 нет ягод.",14 мая 2025  · Карта: xxx30,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",1,352,руб,/шт
Евгения,"Практически вся мягкая. Половину выбросила,не отборная никакая. Только размер большой. Раньше была хорошая,все время брала. Теперь постоянно много мягких ягод.",13 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",1,352,руб,/шт
Светлана,"Отличная: крепкая, крупная, сладкая. Купила по ЗЦ.",13 мая 2025  · Карта: xxx60,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Борис,Очень сладкая,13 мая 2025  · Карта: xxx39,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Кристина,"В заказе вся голубика гнилая, теперь вопросы к магазину, что они имеют ввиду под категорией «отборная».
Видимо, самая гнилая.",13 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",1,352,руб,/шт
Влада,Мягкие ягоды большинство.,13 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",3,352,руб,/шт
Света,Понравилась ягода!,13 мая 2025  · Карта: xxx78,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Родион,"Половина крупная и хорошая, но вторая половина мелочь, уже подвявшая и сморщенная. Упаковка без наклеек производителя, как на фото, только наклейка вкусвила на прозрачном контейнере. Ощущение, что с каждым разом голубики все меньше и она все хуже.",13 мая 2025  · Карта: xxx56,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",3,352,руб,/шт
Елена,"Очень вкусная голубика, действительно отборная",13 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
КРИСТИНА,Вкусная и крупная голубика) Мне понравилась😉,13 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Оксана,"Оооо, в этот раз попалась какая-то просто фантастическая на вкус! На столько вкусная и сладкая. Прям это редкость. Знали бы, взяли бы сразу несколько коробочек! 😊покупали в городе Дмитров 🫶🫐",12 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Наталья,"Отборные ягодки , попадаются кислые, но редко",12 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",5,352,руб,/шт
Настя,Голубика с плесенью! Наверное поэтому у нее название - отборная!,12 мая 2025  · Карта: xxx98,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",1,352,руб,/шт
АНТОН,для отборной много испорченных ягод было,12 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/golubika-vv-otbornoe-125-g-88589.html,"Голубика «ВВ Отборное», 125 г",3,352,руб,/шт
