author,comment,date,url,product,stars,price,currency,weight
ТАТЬЯНА,По ЗЦ нужно быстро съедать Вкусные,17 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Юлия,"Из 4 груш 2 были твердые снаружи, а внутри уже были испорченные , мягкие.",17 мая 2025  · Карта: xxx41,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
ЮЛИЯ ГЕННАДЬЕВНА,Попались жёлтые и очень вкусные.,16 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Татьяна,"Выбрала сама в магазине. Сочные, сладкие, спелые. Удовольствие )",16 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Нелли,"Купила по зеленой цене, очень спелая, вкусная.",16 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Наталья,"Немного крепкие, но вкусные",16 мая 2025  · Карта: xxx95,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,4,342,руб,/кг
Марина,Вкусные сладкие груши! Спасибо Вкусвиллу!,15 мая 2025  · Карта: xxx06,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Юлия,Хорошая груша,15 мая 2025  · Карта: xxx67,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Покупатель,"Груша просто ужасная, Как сырая картошка : твердая и без сладости вообще. Зря потрачены деньги !!! При этом гниловата внутри",15 мая 2025  · Карта: xxx85,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,1,342,руб,/кг
ЕЛЕНА АНАТОЛЬЕВНА,"Есть испорченные, но не убрали с прилавка!
Плохо работают!",15 мая 2025  · Карта: xxx35,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,4,342,руб,/кг
ДМИТРИЙ,Неспелые.,15 мая 2025  · Карта: xxx69,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
Елена,"Кислятина ужасная,как такое можно продавать вообще. Никому не рекомендую!",15 мая 2025  · Карта: xxx61,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,1,342,руб,/кг
Татьяна,"Очень вкусные, сладкие, сочные груши.",15 мая 2025  · Карта: xxx89,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Валентина,"Груша станет вкусной и сочной, если полежит в при комнатной температуре",15 мая 2025  · Карта: xxx95,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Галина,Деревянные!,14 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,1,342,руб,/кг
Ирина,"Очень люблю именно эти груши-ароматные, сладкие. Сейчас на вид были желтенькие, красивые. Но зубы не воткнешь, совсем незрелые.",14 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
Марина,"Ничего общего с описанием. Груша твердая, не сладкая и никакого аромата. Может это не тот сорт. Груша желтого цвета, а Вильямс обычно зеленоватые с красноватыми бочками.",14 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,2,342,руб,/кг
ЖЕНЯ,"Груша огонь! С умеренной кислинкой, очень понравилась!",14 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Катрин,"Я всегда любила эти груши,но сегодня взяла з/ц абсолютно безвкусеные,очень твёрдый,все в трещинах,как будто бы кошки 🐈‍⬛ по скреблись и вид у них не аппетитный👎",14 мая 2025  · Карта: xxx41,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,1,342,руб,/кг
Ирина,"Не особо вкусные, бывают и лучше.",14 мая 2025  · Карта: xxx53,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,4,342,руб,/кг
Елена,"Брала по зц, поэтому хорошо улёжанные, сладкие, мягкие.😀",14 мая 2025  · Карта: xxx63,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
ИРИНА,"Пресный вкус, плотная мякоть. Думаю, не созрела",14 мая 2025  · Карта: xxx58,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
Ольга,Сладкие,14 мая 2025  · Карта: xxx61,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Ирина,"Всегда были сочные и вкусные груши, а вчера привезли вот это. Хотелось сбросить фото. Они все в коричневых пятнах, очень мягкие. Пожалуйста следите за ассортиментом, нельзя испорченный продукт привозить",14 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,4,342,руб,/кг
Газина Татьяна Викторовна,Быстро портится,13 мая 2025  · Карта: xxx78,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
ОЛЬГА,"Хороший виноград. Кисло-сладкий, действительно без косточек",13 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Надежда,"Твёрдые, не спеют, а только гниют",13 мая 2025  · Карта: xxx04,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,1,342,руб,/кг
Лина,Не вкусные груши. Жаль не прочитала отзывы,13 мая 2025  · Карта: xxx62,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,2,342,руб,/кг
Наталья Геннадьевна,"Груша спелая , очень вкусная",13 мая 2025  · Карта: xxx62,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
ОЛЬГА,Чаще попадались спелые и сочные. Последний раз попались бесвкусные,13 мая 2025  · Карта: xxx11,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,4,342,руб,/кг
Дарья,"Деревянные, безвкусные. 4 дня лежали и остались такими же деревянными",13 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
Ольга,Очень сладкие и сочные!,13 мая 2025  · Карта: xxx52,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Анна,"На вид спелые, на вкус никакие и жёсткие как камень! И это выбрала в магазине самые спелые! Знаю какой на вкус Вильямс - это не он от слова совсем. Вильямс сладкие, мягкие и сочные.",13 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,1,342,руб,/кг
Светлана,"Вкусные груши, сладкие",13 мая 2025  · Карта: xxx92,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Нина,Мне понравились вкусные,12 мая 2025  · Карта: xxx65,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Anastasiya,Привезли желтые и все побитоиспорченные груши. Вильямс они мне кажется и не были никогда,12 мая 2025  · Карта: xxx39,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,1,342,руб,/кг
Дарья,По ЗЦ спелые . Шикарные .,12 мая 2025  · Карта: xxx32,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
ОЛЬГА,"Только для варенья. Плотные, не сочные, пахнут старыми ящиками, подвалом. Не зрелые какие то. Оставлю пока полежать, но думаю, срочности не от куда взяться.",12 мая 2025  · Карта: xxx44,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,4,342,руб,/кг
Полина,"Самые вкусные, сочные и самые мягкие груши. Беру только их",12 мая 2025  · Карта: xxx04,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Татьяна,Никакие,12 мая 2025  · Карта: xxx81,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,2,342,руб,/кг
Надежда,"Спелые, сладкие груши ,как летом",11 мая 2025  · Карта: xxx79,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
ГАЛИНА АЛЕКСЕЕВНА,Сладкая и сочная!,11 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
ОЛЬГА,"Груши спелые, вкусные!",11 мая 2025  · Карта: xxx79,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Анна,"Пару дней, дойдут и будет что надо , целые, красивые.",11 мая 2025  · Карта: xxx32,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Алина,"Сочные, но не сладкие, увы",11 мая 2025  · Карта: xxx65,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
Елена,"Видимо, зависит от партии. Предыдущая была сочная, ароматная. Эта же абсолютно безвкусная трава, дубовая и без запаха",11 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,2,342,руб,/кг
Александра,"привезли товар в непригодном виде (все черные), попросила оформить возврат",11 мая 2025  · Карта: xxx83,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,1,342,руб,/кг
Екатерина,"Очень жесткие, пришлось долго дозревать",11 мая 2025  · Карта: xxx81,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,4,342,руб,/кг
НАТАЛЬЯ,"Очень вкусные, ароматные, сочные груши ❤",11 мая 2025  · Карта: xxx35,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Кристина,"Вкусная, хрустящая)) Очень долго ждать пока созреет. Мы с детьми сделали шарлотку с ней - вкусная, сочная и нежная груша. Груша от «Вимфрут»",11 мая 2025  · Карта: xxx34,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Елена,Сочно и вкусно,11 мая 2025  · Карта: xxx99,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Анна,"очень жесткие. отправила на дозревание. хотя, в принципе, этот сорт люблю.",11 мая 2025  · Карта: xxx58,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,4,342,руб,/кг
Яна,В магазе очень спелые желтые мягкие были.,10 мая 2025  · Карта: xxx31,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Мария,"Попросила положить груши подтверже (люблю только такие), привезли плотные, даже твердые они очень сладкие! Спасибо!",10 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
МАРИНА,"Сладость с характерным привкусом дюшес, в меру плотная - все как я люблю",10 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
ЛАРИСА,"Груши полежали около недели и стали ооочень вкусными, в меру сладкие и в меру сочные",10 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Анастасия,"По вкусу груша не дозрела, жесткая, а по виду уже вся скукожилась",10 мая 2025  · Карта: xxx48,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
ТАТЬЯНА,"Мягкие, сочные, сладкие.",09 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Дина Тагировна,"Взяла по ЗЦ. Груша сухая, жесткая",09 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,4,342,руб,/кг
Наталья,"В этот раз привезли почти зрелые, жёлтые.",09 мая 2025  · Карта: xxx31,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Ирина,"Груша спелая, сочная, вкусная. Вкусно также добавлять в кашу",09 мая 2025  · Карта: xxx39,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Марина,"Жесткая, не сладкая",09 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
Антонина,Очень вкусная,09 мая 2025  · Карта: xxx70,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Светлана,"Твердые, незрелые, совершенно безвкусные, не сладкие, не пахнут.",09 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,1,342,руб,/кг
Евгения,Не сладкие.,08 мая 2025  · Карта: xxx82,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
Анна,"Дубовые, свежими есть невозможно, но подходят для тепловой обработки и использования в сложных блюдах.",08 мая 2025  · Карта: xxx91,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
Валентина,"Если груша немного полежит в помещении при комнатной температуре, станет вкусней",08 мая 2025  · Карта: xxx95,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
СВЕТЛАНА ИВАНОВНА,"Спелые и сочные,брала по скидке.Вкуснейшие",08 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Елена,"На вид жёлтенькие, спелые. На вкус жесткие и пресные.",08 мая 2025  · Карта: xxx37,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
ЕЛЕНА,"Хорошая , но не очень спелая и ароматная, какой она должна быть.",08 мая 2025  · Карта: xxx97,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,4,342,руб,/кг
Зина,"Груши вкусные,но полежать должны и тогда вообще не оторваться",08 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
Анастасия,"Жесткая, безвкусная",08 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,3,342,руб,/кг
Ольга Олеговна,"Сочные, сладенькие с кислинкой",08 мая 2025  · Карта: xxx79,https://vkusvill.ru/goods/grusha-vilyams-22334.html,Груша Вильямс,5,342,руб,/кг
