author,comment,date,url,product,stars,price,currency,weight
Надежда,Какая-то она мягкая. Реньше кочаны были тверже,17 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,3,90,руб,/кг
НАТАЛЬЯ,Вкусная хрустящая капуста. Уменьшала общий вес и привезли небольшой качан. Спасибо. Рекомендую к покупке,17 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
ИРИНА ПЕТРОВНА,"Привезли сочную, свежую, хрустящую капусту, спасибо.",17 мая 2025  · Карта: xxx56,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
Ирина,"Сижу и обрезают кучу чёрного, вместо того что бы быстро нарезать. И смахивает на ""новый урожай""",17 мая 2025  · Карта: xxx91,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,3,90,руб,/кг
Svetlana,Сочная. Рекомендую,17 мая 2025  · Карта: xxx96,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
Елена,"Привезли капусту молодую, не белокочанную",17 мая 2025  · Карта: xxx67,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,3,90,руб,/кг
Елена,"капуста внутри как бумага сухая, возврат",17 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,2,90,руб,/кг
НАТАЛЬЯ,"Сочная и хрустящая.
Спасибо!",16 мая 2025  · Карта: xxx51,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
Ольга,"Чистая, сочная капуста с маленькой кочерыжкой",16 мая 2025  · Карта: xxx19,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
Елена Я.,Мне привезли отличную.,16 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
Юлия,"Плохая капуста, внутри вялые коричневые листья. Сухая. Плюс, по чеку указано 870 г, а по факту при взвешивании дома оказалось 820",16 мая 2025  · Карта: xxx71,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,1,90,руб,/кг
Анастасия,"Очень плохой сорт капусты. Много кочерыжки, а потом много пустот и немного совсем листьев",16 мая 2025  · Карта: xxx23,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,1,90,руб,/кг
Юлия Смирнова,Идеальная капуста,16 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
Ольга,"Так себе капуста.
Какая то сухая не сочная",16 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,4,90,руб,/кг
ИРИНА ВИКТОРОВНА,"Снаружи крепкий и красивый кочан. А внутри попадаются подпорченные листья, их приходится удалять - тратится много времени",15 мая 2025  · Карта: xxx02,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,3,90,руб,/кг
Елена,Сочная свежая капуста,15 мая 2025  · Карта: xxx79,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
Татьяна,Свежая капуста хороша в зелёном весеннем салате!,15 мая 2025  · Карта: xxx17,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
Елена,"Очень вкусная,для салата самое то!",15 мая 2025  · Карта: xxx61,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
Мария,"Капусту привезли ужасную, с глубокой трещиной, гнилую.",15 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,1,90,руб,/кг
Валерий,Сочная,15 мая 2025  · Карта: xxx19,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
ОЛЬГА,Внутри качана,15 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,3,90,руб,/кг
Елена Владимиров,"Нежная, молодая",14 мая 2025  · Карта: xxx47,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
Елена,Гнилая внутри,14 мая 2025  · Карта: xxx28,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,1,90,руб,/кг
Елена,Последний раз капуста была вялой,14 мая 2025  · Карта: xxx56,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,3,90,руб,/кг
Анна,"Капуста молодая, качаны маленькие и вкусные👍",14 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,5,90,руб,/кг
Анна,"Очень плохая оказалась в магазине на Дунайском 14. Я в ней не разбираюсь, принесла домой, а она вся желтая и в трещинах. Муж забраковал и всю выкинул",14 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,1,90,руб,/кг
Ваня,Вкусная хрустящая капуста,14 мая 2025  · Карта: xxx02,https://vkusvill.ru/goods/kapusta-belokochannaya-602.html,Капуста белокочанная,4,90,руб,/кг
