author,comment,date,url,product,stars,price,currency,weight
Ольга,"Картофель очень крупный и много зелёных, не пригодных для употребления",18 мая 2025  · Карта: xxx32,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,2,123,руб,/кг
Марина,"Хороший картофель, чистый и вкусный. Для жарки отличный.",18 мая 2025  · Карта: xxx34,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,5,123,руб,/кг
Tanny-f,Вкуса никакого,18 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,3,123,руб,/кг
Ирина,"Хороший картофель, не водянистый",18 мая 2025  · Карта: xxx30,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,5,123,руб,/кг
Екатерина,Нормальный,18 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,5,123,руб,/кг
АЛЁНА,Нет вкуса,17 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,2,123,руб,/кг
Галина,"Покупала ранее
Очень понравился и по вкусу и по качеству. Решила повторить повторить покупку. Но ранее клубника всегда были очищенные от земли, что сегодня не наблюдается. Почему?",17 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,5,123,руб,/кг
АННА,Из дюжины картофелин три оказались испорченными - с гнилью и плесенью,17 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,3,123,руб,/кг
Ирина,"Картофель белый без изьян.
Быстро сварился.",17 мая 2025  · Карта: xxx06,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,5,123,руб,/кг
Елена,Опять треть зелёного картофеля…,17 мая 2025  · Карта: xxx75,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,3,123,руб,/кг
Любовь,В этот раз прислали очень крупный,17 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,4,123,руб,/кг
Джульетта,"Ужасная,не вкусная,не жарится,никакая!",17 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,1,123,руб,/кг
Мария,Самый вкусный картофель. Быстро варится и становится рассыпчатым.,17 мая 2025  · Карта: xxx26,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,5,123,руб,/кг
Марина,Просто безвкусная картошка,17 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,1,123,руб,/кг
СТАНИСЛАВ,"Прекрасная картошка, очень вкусная, аж сладкая. Моется легко",17 мая 2025  · Карта: xxx55,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,5,123,руб,/кг
Ирина,"картофель привезли безобразного вида- огромнвые, странной формы клубни , местами гнилые. Не смотря на это, картофель оказался вкусным.! Странно правда, что при такой огромной стране , с такими угодиями мы покупаем у Египта. где наша родная вкусная и дешевая картошка?",17 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,4,123,руб,/кг
Irina,Зеленый,17 мая 2025  · Карта: xxx34,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,3,123,руб,/кг
Татьяна,"Немного водянистая, не сладкая, для пюре нормально",17 мая 2025  · Карта: xxx34,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,5,123,руб,/кг
ЛИЛИЯ,"Картофель ужасный ,как можно товар прелый ложить ,беру же не в пачках,а на развес,деньги на ветер",17 мая 2025  · Карта: xxx46,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,1,123,руб,/кг
НАДЕЖДА,Из двух кг картофеля привезли один кг зеленой,17 мая 2025  · Карта: xxx70,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,3,123,руб,/кг
ТАТЬЯНА,"В этот раз привезли зелёный картофель, есть и подпорченные картошины!",17 мая 2025  · Карта: xxx86,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,2,123,руб,/кг
Мария,"Белые, водянистые клубни. Пюре получилось не очень вкусным, в супе тоже не вау",17 мая 2025  · Карта: xxx30,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,3,123,руб,/кг
Татьяна,Не вкусно,17 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,3,123,руб,/кг
ИРИНА НИКОЛАЕВНА,"Люди, Вы видите что Вы собираете в заказ??? Себе бы Вы такое положили? Из 3 кг половина зелёный и порченной картошки....",17 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,1,123,руб,/кг
Лана,"Хорошая, сухая, чистенькая, без зеленых пятен картошечка.",17 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,5,123,руб,/кг
Екатерина,Водяная,17 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,2,123,руб,/кг
АНАСТАСИЯ,Часть картофеля была зелёной. Вкус ужасен,17 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,1,123,руб,/кг
Александр,Ужас,17 мая 2025  · Карта: xxx26,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,1,123,руб,/кг
Арсанова Елена,Вкусный,17 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,5,123,руб,/кг
Татьяна,"Отличный, чистый, свежий, вкусный.",17 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,4,123,руб,/кг
Ирина,"Картошка кривая мелкая, сомнительно, что молодая, может мне привезли из другого ящика)",17 мая 2025  · Карта: xxx35,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,3,123,руб,/кг
ИРИНА,Хороший картофель,17 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/kartofel-molodoy-egipet-41728.html,Картофель молодой Египет,5,123,руб,/кг
