author,comment,date,url,product,stars,price,currency,weight
Покупатель,Водянистый не вкусный. Сварила и выкинула. Не берите,17 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/kartofel-mytyy-fasovannyy-2-5-kg-18941.html,"Картофель мытый фасованный, 2,5 кг",1,410,руб,/шт
ТАТЬЯНА,Весь картофель был зеленого цвета,17 мая 2025  · Карта: xxx02,https://vkusvill.ru/goods/kartofel-mytyy-fasovannyy-2-5-kg-18941.html,"Картофель мытый фасованный, 2,5 кг",1,410,руб,/шт
Алиса,"Просто ужас какой то а не картофель, брала по принципу самый дорогой, в итоге половина картошки на выброс, половина зеленая и гнилая.",17 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/kartofel-mytyy-fasovannyy-2-5-kg-18941.html,"Картофель мытый фасованный, 2,5 кг",1,410,руб,/шт
Елена,Картофель очень вкусный!,17 мая 2025  · Карта: xxx78,https://vkusvill.ru/goods/kartofel-mytyy-fasovannyy-2-5-kg-18941.html,"Картофель мытый фасованный, 2,5 кг",5,410,руб,/шт
СЕРГЕЙ,"Полностью безвкусный, похож на перемороженный",16 мая 2025  · Карта: xxx16,https://vkusvill.ru/goods/kartofel-mytyy-fasovannyy-2-5-kg-18941.html,"Картофель мытый фасованный, 2,5 кг",1,410,руб,/шт
АЛЕКСАНДРА,Самый вкусный картофель. В этот раз мешок зелёной. За такие деньги- сомнительное удовольствие.,16 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/kartofel-mytyy-fasovannyy-2-5-kg-18941.html,"Картофель мытый фасованный, 2,5 кг",2,410,руб,/шт
Мансур,"Картофель отвратительного качества,весь зеленый.Интересно,каким образом вы улучшили контроль за данным товаром?",15 мая 2025  · Карта: xxx64,https://vkusvill.ru/goods/kartofel-mytyy-fasovannyy-2-5-kg-18941.html,"Картофель мытый фасованный, 2,5 кг",1,410,руб,/шт
МАРИЯ,Картофель очень плохого качества и состояния а стоит как хороший. Весь изрезанный почерневший привезли((,15 мая 2025  · Карта: xxx32,https://vkusvill.ru/goods/kartofel-mytyy-fasovannyy-2-5-kg-18941.html,"Картофель мытый фасованный, 2,5 кг",1,410,руб,/шт
Маргарита,"По ЗЦ покупать не рекомендую!! Внутри почти вся порченая, я обрезала, одна картофелина просто лежала лопнувшая на две части, пропавшая!",15 мая 2025  · Карта: xxx77,https://vkusvill.ru/goods/kartofel-mytyy-fasovannyy-2-5-kg-18941.html,"Картофель мытый фасованный, 2,5 кг",3,410,руб,/шт
НАТАЛЬЯ,Много зелёных клубней,15 мая 2025  · Карта: xxx53,https://vkusvill.ru/goods/kartofel-mytyy-fasovannyy-2-5-kg-18941.html,"Картофель мытый фасованный, 2,5 кг",2,410,руб,/шт
Луиза,Отвратительный водянистый и совершенно невкусный,14 мая 2025  · Карта: xxx47,https://vkusvill.ru/goods/kartofel-mytyy-fasovannyy-2-5-kg-18941.html,"Картофель мытый фасованный, 2,5 кг",1,410,руб,/шт
