author,comment,date,url,product,stars,price,currency,weight
ОЛЬГА,Блполдмою .чпр отлично,16 мая 2025  · Карта: xxx69,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",5,315,руб,/шт
Наталья,"Один с трудом сын съел - кислятина, хотя, как будто мягкий. Покупали ранее, вкус был сладкий.",15 мая 2025  · Карта: xxx32,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",3,315,руб,/шт
Екатерина,Недозревшие киви. Оформила заяву на возврат,14 мая 2025  · Карта: xxx88,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",3,315,руб,/шт
Виген,"Сколько раз брали к качеству претензий никаких. Сладкий, спелый, прямо медовый, если привозят не совсем спелый, он прекрасно доходит за пару дней при комнатной температуре",13 мая 2025  · Карта: xxx19,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",5,315,руб,/шт
Екатерина,Зеленые и твердые,12 мая 2025  · Карта: xxx88,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",3,315,руб,/шт
Юлия,"Зелёные, дубовые, можно орехи колоть",12 мая 2025  · Карта: xxx46,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",1,315,руб,/шт
Анна,"Зачем привозить киви за такую цену, которая чистится как картошка, с треском?",11 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",1,315,руб,/шт
Екатерина,"перезрелые, явно не стоят завленной цены",11 мая 2025  · Карта: xxx60,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",2,315,руб,/шт
Аля,"Киви деревянные, зелёные, несозревшие",10 мая 2025  · Карта: xxx44,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",1,315,руб,/шт
МАКСИМ,"Привезли киви сегодня, твердый но уже испорченный. Фото прилагаю",10 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",2,315,руб,/шт
Сергей,"Дороже и менее вкусно, чем классический киви.",10 мая 2025  · Карта: xxx46,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",4,315,руб,/шт
Анна,Один из киви оказался уже с гнильцой. Очень неприятно.,08 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",1,315,руб,/шт
София,"Принесли испорченные плесенью киви, и при этом не делают возврат.",06 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",1,315,руб,/шт
ДАРЬЯ,"Киви привезли жухлое и мягкое(забродило уже)
Еще и с плесенью",06 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",1,315,руб,/шт
ГЕОРГИЙ,Очень сладкий 🥝,06 мая 2025  · Карта: xxx60,https://vkusvill.ru/goods/kivi-gold-2-sht-23958.html,"Киви Голд, 2 шт",5,315,руб,/шт
