author,comment,date,url,product,stars,price,currency,weight
МАРИНА,"Кислая, мелкая, увы, не не соответствует заявленным характеристикам",17 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,3,898,руб,/кг
Татьяна,Кислая,17 мая 2025  · Карта: xxx17,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,3,898,руб,/кг
Наталия,Вторая покупка разочарование- все ягоды со вкусом плесени,17 мая 2025  · Карта: xxx74,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,3,898,руб,/кг
АНДРЕЙ,"Не очень сладкая, только аромат",17 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,3,898,руб,/кг
Любовь,Подбитая была и без вкуса вовсе,17 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,1,898,руб,/кг
Катя,"Соотношение цены и качества на троечку. Не сладкая, мне много подмятая, но стоит почто 900р. когда в Переке 750р, а на рынке 650р.",17 мая 2025  · Карта: xxx13,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,3,898,руб,/кг
Евгения,Полный провал. Не сладкая и водянистая. Кроме красивого вида и запаха ничего нет(,17 мая 2025  · Карта: xxx13,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,2,898,руб,/кг
Роза,"Сегодня впервые попалась не вкусная. Свежая поставка, можно было выбрать. Меня не насторожило, что нет аппетитного аромата, т. к. покупаю почти каждый день с начала поставок, всё время была вкусная (только пару раз плесень попадалась). А эта никакая. За такую клубнику даже 300 руб за кг дорого. Разочаровали. Ничего не нужно возвращать баллами! Тщательнее выбирайте поставщиков, пожалуйста! До этого коробки отличались, я явно что-то новое сегодня купила.",17 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,3,898,руб,/кг
Даля,Не вкусная и не дозрелая!,17 мая 2025  · Карта: xxx50,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,1,898,руб,/кг
Дарья,"Обычно супер, а тут какая-то залежалая партия пришла. Водянистая и подпорченная",17 мая 2025  · Карта: xxx56,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,3,898,руб,/кг
Анна,Гнилая,17 мая 2025  · Карта: xxx35,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,2,898,руб,/кг
ИРИНА,"На вид почти вся недозрелая, кислая.
Не достойна бренду ВВ",17 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,2,898,руб,/кг
ЭЛЬЗА,Водяная,17 мая 2025  · Карта: xxx31,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,1,898,руб,/кг
София,"Клубника была бесподобная, брала каждый день на протяжении 2 недель. Что случилось сейчас - непонятно. Выглядит спелой, даже переспелой, а на вкус пресная🤷‍♀️",17 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,2,898,руб,/кг
Юлия,"Клубника вкусная, ароматная, не крупная, но лично для меня это плюс.",17 мая 2025  · Карта: xxx62,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,5,898,руб,/кг
ГАЛИНА,"Вкусная
Свежая",17 мая 2025  · Карта: xxx50,https://vkusvill.ru/goods/klubnika-krasnodar-49623.html,Клубника Краснодар,5,898,руб,/кг
