author,comment,date,url,product,stars,price,currency,weight
Покупатель,Испорченный,17 мая 2025  · Карта: xxx55,https://vkusvill.ru/goods/kokos-pitevoy-sht-25056.html,"Кокос питьевой, шт",2,483,руб,/шт
Надежда,АО Фруктовая лавка хороший кокос Вскрывается легко ножом. Чуть сковырнуть. Просто ножом тыкнете в дырку и поймёте какая из них мягкая. Сам кокос я не ем только пью,16 мая 2025  · Карта: xxx48,https://vkusvill.ru/goods/kokos-pitevoy-sht-25056.html,"Кокос питьевой, шт",5,483,руб,/шт
Анна,"Ранее были кокосы другого поставщика. Сейчас доставили вьетнамский. Обработан плохо. С такой фасовкой его не выпить, пришлось дома его самостоятельно обрабатывать (снимать мокрую койру) и искать точку для ""пробивания"". То как поставляется продукт непригодно к употреблению.",15 мая 2025  · Карта: xxx71,https://vkusvill.ru/goods/kokos-pitevoy-sht-25056.html,"Кокос питьевой, шт",3,483,руб,/шт
Злата,"После снятия пленки обнаружили трещину, запах плесени и слизь вместо сока",14 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/kokos-pitevoy-sht-25056.html,"Кокос питьевой, шт",1,483,руб,/шт
АНАСТАСИЯ,"Привезли кокос без кожуры, сейчас уже обновили фото в товаре, но раньше было фото кокоса в кожуре",14 мая 2025  · Карта: xxx11,https://vkusvill.ru/goods/kokos-pitevoy-sht-25056.html,"Кокос питьевой, шт",1,483,руб,/шт
КСЕНИЯ,"Воды много, мякоть вкусная. Плесени нет(но, почитав отзывы, пить через трубочку, не видя что внутри, неприятно. Было страшно расколоть и увидеть плесень.)
Раскалывать удобно, положив кокос в полиэтиленовый пакетик и держать за него, чтобы ничего в лицо не отлетело и не попасть по руке😅 и пару раз хорошенько стукнуть молотком.",14 мая 2025  · Карта: xxx53,https://vkusvill.ru/goods/kokos-pitevoy-sht-25056.html,"Кокос питьевой, шт",5,483,руб,/шт
Миша Маклауд,"Замый вкусный кокос!!! молока как будто 2 литра. Советую!!
Привозите больше!!!!!!!! 👍",13 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/kokos-pitevoy-sht-25056.html,"Кокос питьевой, шт",5,483,руб,/шт
Даша,"Мне попался такой кокос как на фото, сладкая вода и свежая мякоть кокоса. Несмотря на отзывы решила задать и все супер. Единственная сложность это разбить сам кокос.",10 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/kokos-pitevoy-sht-25056.html,"Кокос питьевой, шт",5,483,руб,/шт
Инна,"Легко вскрывается, удобная упаковка, , больше количество кокосового молока внутри ( не сухой)",09 мая 2025  · Карта: xxx37,https://vkusvill.ru/goods/kokos-pitevoy-sht-25056.html,"Кокос питьевой, шт",5,483,руб,/шт
А,Весь в плесени…,09 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/kokos-pitevoy-sht-25056.html,"Кокос питьевой, шт",1,483,руб,/шт
Диана,Не вкусно!,07 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/kokos-pitevoy-sht-25056.html,"Кокос питьевой, шт",2,483,руб,/шт
