author,comment,date,url,product,stars,price,currency,weight
РИКА,"Привезли отвратительный и гнилой лук, весь испорченный, хотя даже в комментариях к заказу попросила не класть испорченные продукты ((",18 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,1,97,руб,/кг
Ирина,"Хороший плотный лук, в шелухе",18 мая 2025  · Карта: xxx30,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
Лалия,Лук с плесенью.,18 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,1,97,руб,/кг
Юлия,Злой,18 мая 2025  · Карта: xxx74,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
Маметязова Гули,Редко бывает свежие,17 мая 2025  · Карта: xxx65,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
Ольга,Лук хороший рекомендую,17 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
Елена,Заказывала не один раз и всегда привозили лук гнилой с плесенью.,17 мая 2025  · Карта: xxx78,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,1,97,руб,/кг
МАРИНА АЛЕКСАНДРОВНА,"Очень странный лук в последнее время попадается - очень жесткий и едкий .. мне кажется, это египетский лук , а не наш .. наш хоть и помельче , но и понежнее",17 мая 2025  · Карта: xxx03,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
Артём,Доволен луком,17 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
ОЛЬГА,Лук как надо,17 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
Татьяна,"Последние три раза брали и выкидывали, хотя под кожурой не сразу можно увидеть плесень. Посмотрим, что привезли сегодня, просила выбрать. Фото нет, выбрасывала сразу.",17 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,1,97,руб,/кг
Натела,Привезли хороший лук!,17 мая 2025  · Карта: xxx63,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
Елена,"Крупный, сухой.",17 мая 2025  · Карта: xxx81,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
Виктор,"обычный, свежий, хороший лук",17 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
Алина Перхунова,"Попадаются гнилые луковицы. При этом по ним видно, что они испортились, но их всё равно подкладывают в пакет к нормальным",17 мая 2025  · Карта: xxx10,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,2,97,руб,/кг
Людмила,Проросший,17 мая 2025  · Карта: xxx88,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
Дмитрий Владимирович,Быстро покрывается плесенью.,17 мая 2025  · Карта: xxx63,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
ИРИНА,"Удивлена по зеленой цене привезли небольшой лук, как на подбор. Когда заказываешь просто так, кладут очень крупный",17 мая 2025  · Карта: xxx04,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
ЛЮБОВЬ ВАСИЛЬЕВНА,Иногда всё таки с гнильцой.,17 мая 2025  · Карта: xxx88,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,4,97,руб,/кг
Наталья,"Лук гнилой был, выкинули.",17 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,1,97,руб,/кг
ИРИНА,"Лук хороший, чистый, понравился.",17 мая 2025  · Карта: xxx80,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
Оксана,"Лук старый, хотя за такую цену могли б и молодой уже продать",17 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,1,97,руб,/кг
Наталья Ф,Мелкий,17 мая 2025  · Карта: xxx01,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,4,97,руб,/кг
Тайра,Лук отличный,17 мая 2025  · Карта: xxx27,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
Алёна,"Мокрый лук, с запахом, есть плесень. По зц лучше даже привозили.",17 мая 2025  · Карта: xxx48,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
Татьяна,"Лук как всегда хороший. Сухой свежий, средний размер.",17 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
АНТОН,Лук был уже уставший,17 мая 2025  · Карта: xxx43,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,1,97,руб,/кг
НАТАЛЬЯ,"Всегда хороший лук привозили. Последний раз много срезала, подгнивший",17 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,4,97,руб,/кг
Наталия,Плесень не луке,17 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
ИРИНА ВИТАЛЬЕВНА,хороший лук,17 мая 2025  · Карта: xxx61,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
Надежда,Привезли испорченный. Больше не заказывала,17 мая 2025  · Карта: xxx03,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
Елена,"Из 6 головок лука нет ни одной нормального вида. Луковицы либо совсем ""голые"", либо поврежденные в разной степени. Мне такой лук ни разу не привозили даже по ""зелёному"" ценнику.",17 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,2,97,руб,/кг
Мария,"Цена стала выше, а качество упало до неприличия.",17 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,2,97,руб,/кг
Юлия,Очень крупный,17 мая 2025  · Карта: xxx61,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
Юлия,Хороший лук,17 мая 2025  · Карта: xxx44,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
ЕВГЕНИЯ,"Пришел как на картинке, крупный , хороший",17 мая 2025  · Карта: xxx44,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,5,97,руб,/кг
Гюзель,"Лук сезонный, уменьшить цену",17 мая 2025  · Карта: xxx65,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,4,97,руб,/кг
Ира,"Лук был перележалый, рыхлый,с зеленами ростками внутри",17 мая 2025  · Карта: xxx51,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
Вера,Был сырой,17 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
Карта,"Не идеальный лук, но не плохой. Одна из 5 луковок мягкая и подгнившая.",17 мая 2025  · Карта: xxx97,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,4,97,руб,/кг
ВИКТОРИЯ,Внутри плохой,17 мая 2025  · Карта: xxx99,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,2,97,руб,/кг
Валерия,Перемороженный,17 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
ЛАРИСА,Покупала по ЗЦ. Был подгнивший.,17 мая 2025  · Карта: xxx35,https://vkusvill.ru/goods/luk-repchatyy-605.html,Лук репчатый,3,97,руб,/кг
