author,comment,date,url,product,stars,price,currency,weight
Владимир,"Один отличный, другой хуже",17 мая 2025  · Карта: xxx34,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,4,305,руб,/кг
Мария,С кислинкой а написано сладкие,17 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,4,305,руб,/кг
Ольга,"Сколько раз покупала этот сорт, никогда не приносили такую мелочь и кислятину ! В объёме всего 4 см ! Яйцо куриное намного крупнее, чем мандарины. Специально только этот сорт беру из-за того, что сладкие, а сегодня только на выброс !",17 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,2,305,руб,/кг
Сергей,"Вкусные,сладкие.",17 мая 2025  · Карта: xxx98,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,5,305,руб,/кг
ЛЮДМИЛА ИВАНОВНА,Суховаты,17 мая 2025  · Карта: xxx55,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,3,305,руб,/кг
Олеся,Привезли апельсины,17 мая 2025  · Карта: xxx50,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,1,305,руб,/кг
Роман,"Очень вкусные, хорошо очищаются, сладкие",16 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,5,305,руб,/кг
Марина,Вместо мандаринов положили апельсины . Фото не загружается,16 мая 2025  · Карта: xxx19,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,3,305,руб,/кг
Стася,"не вкусно,наполовину как будто старые и сухие😕",16 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,2,305,руб,/кг
ЕЛЕНА,"Хорошие, но очень мелкие мандарины",16 мая 2025  · Карта: xxx50,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,4,305,руб,/кг
Ирина,Сладкие и крупные.,16 мая 2025  · Карта: xxx78,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,5,305,руб,/кг
СВЕТЛАНА,Тонкая кожица. Очень сладкие. Без косточек. Топ,16 мая 2025  · Карта: xxx35,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,5,305,руб,/кг
Ольга,Маленькие но очень сладкие,16 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,5,305,руб,/кг
Анастасия,Очень кислые,16 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,1,305,руб,/кг
Дарья Александровна,"блестящие, сладкие и без косточек. чистятся отлично",16 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,5,305,руб,/кг
Ирина,Безвкусные,16 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,3,305,руб,/кг
Юлия,"Конечно очень маленькие, но очень вкусные, главное без косточек",16 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,5,305,руб,/кг
Юлия,"Просто супер, спасибо 🌹",16 мая 2025  · Карта: xxx84,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,5,305,руб,/кг
ВЯЧЕСЛАВ АЛЕКСАНДРОВИЧ,"Мандарины испорченные, видна плесень. Не товарный внешний вид.",16 мая 2025  · Карта: xxx05,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,1,305,руб,/кг
ЕВГЕНИЯ,"Странный привкус и запах, совсем не мандаринов 🤔",16 мая 2025  · Карта: xxx64,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,3,305,руб,/кг
Юлия & Евгений,Раньше были крупные и сладкие. Теперь же эти мандарины размером с крупную виноградину и на вкус кислят. По крайней мере такое привезли мне. Это точно надоркот?,16 мая 2025  · Карта: xxx44,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,4,305,руб,/кг
Александр,Мне специально мелочь сыпали ?,15 мая 2025  · Карта: xxx72,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,2,305,руб,/кг
ОЛЬГА,"Мандарины роскошные, крупные, сладкие, легко чистятся.",15 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,5,305,руб,/кг
Ольга,"Заказала мандарины Надоркотт, привезли не те мандарины, какую- мелочь целый пакет. Или ваши васовщики думаюя, что челоаек заказывает и можно его обманывать, всякую ***** накладывать, сто первое попадеться под руки. Я, что незнаю, как выглядят мандарины этого сорта. Вчера, так же заказывала привезли крупные и хорошие.",15 мая 2025  · Карта: xxx45,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,1,305,руб,/кг
Людмила,Привезли абсолютно другой сорт.даже одна этикетка осталась,15 мая 2025  · Карта: xxx34,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,2,305,руб,/кг
Ирина,Из 590гр один внутри гнилой.,15 мая 2025  · Карта: xxx77,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,4,305,руб,/кг
Нина Разуваева,"Сочные,не кислые,вкус нормальный",15 мая 2025  · Карта: xxx91,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,4,305,руб,/кг
Елена,Плохо чистятся. По вкусу нормально,15 мая 2025  · Карта: xxx61,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,4,305,руб,/кг
ТАМАРА АЛЕКСАНДРОВНА,"Отличные, сладкие, сочные мандарины!!!🙏",15 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,5,305,руб,/кг
Аланочка,"Шикарные! Очень сладкие, вкусные. Могу килограмм за день съесть)",15 мая 2025  · Карта: xxx26,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,5,305,руб,/кг
Маргарита,"Сухие внутри, хотя вроде тяжелые и плотные снаружи",15 мая 2025  · Карта: xxx60,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,3,305,руб,/кг
Татьяна,"Сочные, но НЕ СЛАДКИЕ, я бы даже сказала, что никакие по вкусу",15 мая 2025  · Карта: xxx48,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,3,305,руб,/кг
Анатолий,Не повезло. :(,14 мая 2025  · Карта: xxx52,https://vkusvill.ru/goods/mandariny-nadorkott-69648.html,Мандарины Надоркотт,2,305,руб,/кг
