author,comment,date,url,product,stars,price,currency,weight
Мария,"Обычно оч хорошая, но в этот раз доставили полубольную и высохшую((((",17 мая 2025  · Карта: xxx83,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,2,102,руб,/кг
Наталья Ф,Сладкая,17 мая 2025  · Карта: xxx01,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
МАРИЯ,"Морковь вся сморщенная,мягкая",17 мая 2025  · Карта: xxx80,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,3,102,руб,/кг
Марина,"Хорошая морковь, свежая и сладкая",17 мая 2025  · Карта: xxx21,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
ТАМАРА ПЕТРОВНА,"Чистая, хрустящая, сладковатая - отличная морковка.",17 мая 2025  · Карта: xxx23,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Анна,"Морковь хорошая, но раньше была маленькая и средняя, сейчас гиганты, не удобно емли готовишь не много",17 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Жан Николя Ноле,Очень качественная морковь. Всегда покупаю.,16 мая 2025  · Карта: xxx17,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Наталья С,Обычная,16 мая 2025  · Карта: xxx99,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,4,102,руб,/кг
Алексей,Вялая,16 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,4,102,руб,/кг
Покупатель,"Свежая, вкусная, сочная",16 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
АЛЬБИНА,Мягкая,16 мая 2025  · Карта: xxx95,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,3,102,руб,/кг
ФЕЛИКС,"Раньше была твердая, хрустящая, сочная, теперь вялая, серая, а поэтому не особо вкусная.",16 мая 2025  · Карта: xxx82,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,3,102,руб,/кг
Екатерина,Морковь плохого качества.,16 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,1,102,руб,/кг
ТАТЬЯНА ВЛАДИМИРОВНА,"Морковь чистая,одинакового,среднего размера,ровная.",16 мая 2025  · Карта: xxx41,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Мария,Много мягкой моркови с темными пятнами,16 мая 2025  · Карта: xxx29,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,3,102,руб,/кг
Максим,"Понравилась, хорошо помытая, думаю из-за прямой, ровной формы. Зелёный след от ботвы не глубоко пронизывает плод, что увеличивает съедобную часть. На вкус показалась не слишком ярко выражена, на 4.",15 мая 2025  · Карта: xxx48,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,4,102,руб,/кг
ЕЛЕНА,"Всегда заказывать и была сочная и вкусная морковь. Последняя доставка разочаровала - корнеплоды невероятно крупные, вялые и безвкусные.",15 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,1,102,руб,/кг
Людмила,"морковь крепкая, хороший размер, качественная.",15 мая 2025  · Карта: xxx41,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Ася,"Хорошая морковка, гораздо лучше, чем немытая",15 мая 2025  · Карта: xxx98,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
ЕЛЕНА,"Хорошая морковь, беру по 300 г",15 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Татьяна,"Внешне хорошие, ровные.",15 мая 2025  · Карта: xxx83,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Наталья,"Хорошая, свежая морковь!! Очень понравилась!! Сочная!!",15 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Галина,"Полностью согласна с предыдущим отзывом. Жаль,,что другой не бывает.",15 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,4,102,руб,/кг
Inna,Мягкая,14 мая 2025  · Карта: xxx79,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,3,102,руб,/кг
НАТАЛЬЯ,Гигантские растрескавшиеся переростки,14 мая 2025  · Карта: xxx80,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,2,102,руб,/кг
МАРИНА ВЛАДИМИРОВНА,Отлично!,14 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Елена,Привезли вялую морковь,14 мая 2025  · Карта: xxx97,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,3,102,руб,/кг
ЮЛИЯ,Пришла вся ломаная. Кусочки,14 мая 2025  · Карта: xxx19,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,3,102,руб,/кг
Покупатель,Вроде нормальная,14 мая 2025  · Карта: xxx21,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Елена,"Крепкая, но переросшая",14 мая 2025  · Карта: xxx37,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,4,102,руб,/кг
Ольга,"Всегда отличная, чистенькая и свежая морковь.",14 мая 2025  · Карта: xxx16,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
МАРИНА,"Морковь сухая, вялая",14 мая 2025  · Карта: xxx28,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,3,102,руб,/кг
Вероника,"Беру детям на перекус, эта морковь гемного заветренная, свиду нормальная, но совершенно не вкусная, полное разочарование....",14 мая 2025  · Карта: xxx29,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,3,102,руб,/кг
Михаил,Нормальная морковка,14 мая 2025  · Карта: xxx64,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Оксана,"Абсолютно невкусная, в точнее безвкусная морковь . Как будто кормовая",14 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,3,102,руб,/кг
Ирина,"Качество мытой выше, чем просто моркови",13 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
НАТАЛЬЯ,Хорошая морковь.,13 мая 2025  · Карта: xxx97,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Мария,Старая заветренная и прорастают👀корни,13 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,1,102,руб,/кг
Марина,Отличная,13 мая 2025  · Карта: xxx54,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
Ольга,Отлична сочная морковь,13 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,5,102,руб,/кг
ВАЛЕНТИНА,"Привезли хорошую, мытую, по вкусу - бывает вкуснее, неплохая!",13 мая 2025  · Карта: xxx33,https://vkusvill.ru/goods/morkov-mytaya-18735.html,Морковь мытая,4,102,руб,/кг
