author,comment,date,url,product,stars,price,currency,weight
Ольга,Хорошие огурцы,17 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
Ася,"Всё хорошо, ❤️ спасибо",17 мая 2025  · Карта: xxx67,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
ГАЛИНА,"Огурцы мягкие оказались и с кислинкой, не свежие",17 мая 2025  · Карта: xxx41,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,3,150,руб,/кг
Артур,Рано испортились,17 мая 2025  · Карта: xxx77,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,3,150,руб,/кг
ВАЛЕНТИНА,"Добрый вечер всем. Честный отзыв: сегодня купила огурцы гладкие. На мой взгляд отличные огурцы на вид и на вкус. Спасибо Вкусвилл я очень довольна. Цена, качество на высоте.",17 мая 2025  · Карта: xxx70,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
Ирина,"мне нравятся эти огурцы, всегда мвежие с тонкой кожей.",17 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
Нина,"Свежие огурчики, спасибо!",17 мая 2025  · Карта: xxx74,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
Татьяна,Огурцы привезли повреждённые и явно подмороженные. Никогда нельзя заказывать доставку овощей.,17 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,1,150,руб,/кг
Анастасия,Скукоженные огрурцы,17 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,3,150,руб,/кг
НАСТЯ,Огурцы были горькими,17 мая 2025  · Карта: xxx13,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,1,150,руб,/кг
Галина,"Вяленткий, на вкус ничего.",17 мая 2025  · Карта: xxx85,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,4,150,руб,/кг
Покупатель,Вкус водянистый,17 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,3,150,руб,/кг
Полина,"отличные огурцы, плотные, сочные",17 мая 2025  · Карта: xxx95,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
ТАМАРА ПЕТРОВНА,"Хорошие огурцы, только не подлежат хранению. В салат, в ролл - отлично!",17 мая 2025  · Карта: xxx23,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
ДЖУЛЬЕТТА,"Мякоть с желтизной , огурцы не первой свежести",17 мая 2025  · Карта: xxx50,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,4,150,руб,/кг
Светлана,"Огурцы горчат, семенная мякоть желтоватая",17 мая 2025  · Карта: xxx28,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,2,150,руб,/кг
Наталья,"На следующий день начали гнить, покрылись какими-то белыми пятнами.",17 мая 2025  · Карта: xxx24,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,2,150,руб,/кг
ТАТЬЯНА,"Свежие, хрустящие.",17 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
Агата,Всё же плоские огурцы лучше я больше покупать не буду. На троечку.,17 мая 2025  · Карта: xxx51,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,4,150,руб,/кг
Ирина,Огромные и немного подвяли. Думала будут поменьше.,17 мая 2025  · Карта: xxx28,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,3,150,руб,/кг
Лилия,Нормальный,16 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
Альбина,Очень хорошие качество,16 мая 2025  · Карта: xxx85,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
Анастасия,"Огурцы все вялые,на вкус вода",16 мая 2025  · Карта: xxx89,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,1,150,руб,/кг
Анисимов Виталий Николаевич,"хрустящие, плотные огурцы",16 мая 2025  · Карта: xxx10,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
Ирина,"Неплохие огурцы для своего уровня , хотелось бы , чтобы были более крепкие",16 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,4,150,руб,/кг
Полина,"Огурцы были мягкие — не очень. Хотя по зеленым ценникам, наверное поэтому. Вообще надо осторожней зеленые ценники на овощи с доставкой.",16 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,3,150,руб,/кг
Юлия,Были горькие,16 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,3,150,руб,/кг
СВЕТЛАНА,"Огурцы вялые, помятые, бок просто вмят, на вкус очень водянистые.",16 мая 2025  · Карта: xxx48,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,1,150,руб,/кг
Ольга,Почти без вкуса попались.,16 мая 2025  · Карта: xxx34,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,3,150,руб,/кг
София,Горькие,15 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,1,150,руб,/кг
Алла,"Это просто ужас химозный. Какой то химией, есть вообще не возможно, откуда их везут. Раньше были настоящие огурцы.",15 мая 2025  · Карта: xxx17,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,1,150,руб,/кг
Марина,"Нормальные, мягковаты",15 мая 2025  · Карта: xxx63,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,4,150,руб,/кг
Юлия,"Два огурца заказала, один оказался желтый и горький внутри, другой мягкий. Пришлось выбросить.",15 мая 2025  · Карта: xxx51,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,2,150,руб,/кг
Ирина,Огурцы супер! Душистые! Вкусные.,15 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
ИРИНА,подвядшие,15 мая 2025  · Карта: xxx89,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,4,150,руб,/кг
Ася,"Всегда хорошие огурцы, берём уже очень долгое время",15 мая 2025  · Карта: xxx98,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
НАТАЛЬЯ,"Огурцы ароматные,вкусные!",15 мая 2025  · Карта: xxx01,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
ОЛЬГА,Норм,15 мая 2025  · Карта: xxx16,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,4,150,руб,/кг
Светлана Алексеевна,"Огурцы мягкие,в середине с желтизной. На вкус омерзительные! Очень горькие!Такой гадости в жизни не пробовали.
Вкусвилл! Как проверяют ваши технологии качество продукции!?",15 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,1,150,руб,/кг
НАТАЛЬЯ,"Размер, как кобачек",15 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,3,150,руб,/кг
НАЙАЛЬЯ,Привезли мягкие огурцы. Не советую заказ на дом.,15 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,1,150,руб,/кг
Людмила,Безвкусные,15 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,2,150,руб,/кг
Мария,"Не ожидала брала по зеленому ценнику как-то были лучше красивые, а эти даже внешний вид",15 мая 2025  · Карта: xxx81,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,2,150,руб,/кг
Ольга,"Свежие, хрустящие.",15 мая 2025  · Карта: xxx74,https://vkusvill.ru/goods/ogurtsy-gladkie-16645.html,Огурцы гладкие,5,150,руб,/кг
