author,comment,date,url,product,stars,price,currency,weight
Наталья,"Вяленький, горьковатый",17 мая 2025  · Карта: xxx10,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,4,370,руб,/кг
Людмила,"Перец хороший, свежий, сладкий",17 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
ЛИЛИЯ,"Хороший, плотный перец среднего размера",17 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,4,370,руб,/кг
Андрей,Перец норм даже по зц,17 мая 2025  · Карта: xxx63,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Елена Эммануиловна,Прекрасный перец!,17 мая 2025  · Карта: xxx11,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Семья,Жёлто-зелёный. По вкусу - трава.,17 мая 2025  · Карта: xxx16,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,1,370,руб,/кг
ИНГА,"Много нежозрелого перца и у него, конечно, совсем другой вкус",17 мая 2025  · Карта: xxx94,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,4,370,руб,/кг
Людмила,👍,17 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Екатерина,Перец оказался весь в плесени внутри !выкинули,17 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,1,370,руб,/кг
Лидия,"Сочный перец, из какой-то арабской страны",16 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Ия,Очень хороший перец,16 мая 2025  · Карта: xxx98,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Сундус,😍,16 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Ульяна,"Всегда был очень сладким и вкусным, эта партия к сожалению не понравилась, перцы безвкусные(",16 мая 2025  · Карта: xxx89,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,3,370,руб,/кг
ЕЛЕНА,Вкусный сочный перец,16 мая 2025  · Карта: xxx82,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Журавицкая Ольга,"Перец свежий, крепкий, мясистый, очень вкусный!",16 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
АЛЛА ВЛАДИМИРОВНА,"Привезли хороший, свежий перец",16 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Покупатель,"Хороший , крепенький.",16 мая 2025  · Карта: xxx44,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Лиза,Свежий вкусный,15 мая 2025  · Карта: xxx02,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Марина,"Перец по вкусу вкусный,сочный,среднего размера",15 мая 2025  · Карта: xxx52,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Ася,"Отличные перцы, свежие, сладковатые. Обожаю!",15 мая 2025  · Карта: xxx98,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
ЕЛЕНА,Замечательный перец,15 мая 2025  · Карта: xxx86,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
ИРИНА ВАЛЕНТИНОВНА,Очень хороший перчик!,15 мая 2025  · Карта: xxx09,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
АЛЛА,"Хороший, свежий и сочный перец",15 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Лизок,Чахлый и вообще не пахнет ! (((,15 мая 2025  · Карта: xxx35,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,2,370,руб,/кг
Альбина,"Не пожалела , что сегодня выбрала этот вид перчиков",15 мая 2025  · Карта: xxx71,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Алёна,Вкусно,14 мая 2025  · Карта: xxx46,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Айя,Не сладкий,14 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,3,370,руб,/кг
Ирина,"Перец пресный, не сладкий. За такие то деньги",14 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,4,370,руб,/кг
Татьяна,"Сладкий, сочный, вкусный перец!!!!!",14 мая 2025  · Карта: xxx81,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Ольга,Хороший перец: сладкий и сочный,14 мая 2025  · Карта: xxx34,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
ПОЛИНА АЛЕКСАНДРОВНА,Не вкусный,14 мая 2025  · Карта: xxx84,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,3,370,руб,/кг
Людмила,Перец крепкий,14 мая 2025  · Карта: xxx81,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
ЕЛЕНА,В этот раз привезли от Океания очень большие и тонкостенные.,14 мая 2025  · Карта: xxx55,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,4,370,руб,/кг
Алевтина,"Перец привезли по з/ц один - треснутый, второй начинал подгнивать",14 мая 2025  · Карта: xxx47,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,3,370,руб,/кг
АРИНА,Из 3 перцев 2 плохие.,14 мая 2025  · Карта: xxx24,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,3,370,руб,/кг
Анжелика,"Не сладкий (
Даже после запекания",14 мая 2025  · Карта: xxx24,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,4,370,руб,/кг
НАТАЛЬЯ,Перцы свежие и сочные,14 мая 2025  · Карта: xxx19,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Елена,"Свежий, упругий, сладкий.",14 мая 2025  · Карта: xxx74,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Lena,Очень хороший и вкусный,14 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Анна,Очень водянистый и безвкусный.,14 мая 2025  · Карта: xxx30,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,3,370,руб,/кг
Светлана,Пряный и сладкий.,14 мая 2025  · Карта: xxx85,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Юлия Смирнова,Очень хороший и качественный!,14 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
ЕЛЕНА,Отличный сочный упругий ароматный перец. Как правило привозят крупный👍,14 мая 2025  · Карта: xxx72,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Мари,По зц всегда беру,14 мая 2025  · Карта: xxx50,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Мариам,Рекомендую,14 мая 2025  · Карта: xxx82,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Старовойтова Елизавета Борисовна,"2 раза заказывала , и в первый раз тухлый я прям с пакетом выкинула, втоой раз уже в комментарии указала что бы получше выбрали",13 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,2,370,руб,/кг
Елена,"Крепкий, сочный",13 мая 2025  · Карта: xxx61,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
Люда,Прекрасный перец!👍🏼👍🏼,13 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
ИРИНА АЛЕКСЕЕВНА,"Вкусный, сочный",13 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/perets-krasnyy-sladkiy-21005.html,Перец красный сладкий,5,370,руб,/кг
