author,comment,date,url,product,stars,price,currency,weight
Olya,Ну очень вкусные ❤️,18 мая 2025  · Карта: xxx69,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
СВЕТЛАНА ИВАНОВНА,"Вкусный персик,
Спелый., сочный 🍅, свежий, сладкий с кислинкой. Понравился. Мне",17 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Екатерина,"Бесвкусные, хоть и переспелые. Заказала специально немного, но в доставке самостоятельно увеличили вес, хотя персики маленькие и видно, если убрать хотя бы 1, вес будет таким, как заказывала...",17 мая 2025  · Карта: xxx47,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
ТАТЬЯНА,"Курьер привез все мятые, до следующего дня не дожили, испортились. Ставлю 4 звёзды так как были мягкие, половина с кислинкой, половина с элементами сладости.",17 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг
Татьяна,"Привезли спелые. Вполне подходят, если нет сил дождаться сезона)",17 мая 2025  · Карта: xxx01,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
ЛАРИСА,"На вид - очень неказистый, но внутри - спелый и сладкий.",17 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг
Ольга,"Свежие, сочные",17 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
ОЛЬГА,"Мне привезли хорошие сочные персики, буду заказывать дальше...",17 мая 2025  · Карта: xxx83,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
ОЛЬГА,"Покупала персики 16 мая в магазине г.Королева совсем не сочные, волокнистые, безвкусные!",17 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг
Катерина,"Сухой, безвкусный персик",17 мая 2025  · Карта: xxx52,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
Светлана,"У меня были мелкие ,сочные и очень сладкие !!!",17 мая 2025  · Карта: xxx54,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
ВАЛЕНТИНА МАТВЕЕВНА,Для этого времени года вкусный,17 мая 2025  · Карта: xxx47,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Виктория,Сухие безвкусные,17 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
Павел,"На четверочку,а так,если полежат денек то самое оно,мне понравились",17 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг
Ольга,"ООчень, очень, просто очень кислый персик. Покупка 14.05., магазин на Ивана Сусанина, Кострома",17 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,2,382,руб,/кг
ВЕРА,Не сочный волокнистый,17 мая 2025  · Карта: xxx43,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
Юлия,"Персики 🍑 безумно вкусные, невероятно сочные и очень сладкие. Египту и ВВ респект 👍",17 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Ольга,"Сладкие, сочные, спелые.",17 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Эльвира,"Мелкие, жестковатые, но сладкие и спелые.",17 мая 2025  · Карта: xxx56,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Любовь,Безвкусные,17 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг
Сергей,Вялые персики и слишком маленькие,17 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
Наталия,"Персики неплохие,но я сама выбирала в магазине)",17 мая 2025  · Карта: xxx23,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
СВЕТЛАНА,"Покупала в магазине очень вкусные,привезли доставку совсем другие по вкусу,не понравилось",17 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
Екатерина,"Повторная покупка — опять удачно. Персики небольшие, иногда с кислинкой. Все спелые, сладкие, мягкие. Ни одного зелёного бочка. Почти без запаха, но для начала мая, на мой вкус, отлично.",17 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Ника,"Не сладкие, не сочные и уже вялые, хотя стоят не по ЗЦ.",17 мая 2025  · Карта: xxx81,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
Оксана,Вкусные и сладкие персики! Куплю ещё,17 мая 2025  · Карта: xxx17,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
ИРИНА,"Покупала по зц. Мягкие, вкусные.",17 мая 2025  · Карта: xxx11,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Полиночка,Жëсткие.,17 мая 2025  · Карта: xxx03,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
Ирина,"Безвкусные, половина мятые",17 мая 2025  · Карта: xxx37,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,2,382,руб,/кг
Валерия,"Сочные, зрелые, сладкие 🤩",17 мая 2025  · Карта: xxx82,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
ЛИДИЯ,"Конечно, это еще не персики в привычном понимании, но тоже ничего",17 мая 2025  · Карта: xxx11,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг
Людмила,"Привезли не крупные, но спелые и сочные, на вкус кисло-сладкие.",16 мая 2025  · Карта: xxx54,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
ОКСАНА,"******* а не персики. Сухие, мелкие, кислые. Деньги на ветер.",16 мая 2025  · Карта: xxx53,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
Ольга,Отличные персики,16 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Елена,"Каждую весну я с нетерпением жду появления этих египетских персиков. Они небольшого размера, но очень вкусные, с маленькой косточкой. Спасибо, ВВ!",16 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Полина,Очень вкусно,16 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
МАКСИМ СЕРГЕЕВИЧ,Не очень персики,16 мая 2025  · Карта: xxx98,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
ЕЛЕНА,"Пока не вкусно. Да, они сладкие и мягкие, на вид красивые. Но не сочные, как вата",16 мая 2025  · Карта: xxx80,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг
ТАТЬЯНА ВЛАДИМИРОВНА,"Не сочные, ватные персики",16 мая 2025  · Карта: xxx69,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
СВЕТЛАНА,Вкусные персики,16 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Юлия,Безвкусное и незрелое нечто,16 мая 2025  · Карта: xxx48,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг
Ирина,"Осень мелкие как горох, на дозревание оставила",16 мая 2025  · Карта: xxx13,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг
Наталия,"Такие персики стыдно предлагать. Я не ожидала вкуса летнего фрукта, но это(((",16 мая 2025  · Карта: xxx32,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг
ЕЛЕНА ИВАНОВНА,Очень плохие и несъедобные персики.Они мягкие ватно противные.,16 мая 2025  · Карта: xxx67,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг
Светална,Не вкусные,16 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг
Марк,Плесень,16 мая 2025  · Карта: xxx82,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг
Маргарита,"Почти не сладкие, но мягкие и сочные.",16 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг
Галина,"Выбирала, сочные и сладкие",16 мая 2025  · Карта: xxx45,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Мария,"Персик был совершенно безвкусным неспелым. Один из них был фактически зеленый. Такой продукт продавать нельзя., он не готов к употреблению и есть это невозможно",16 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг
АЛЕКСАНДРА,"Ароматные, сочные, очень вкусные❤️",16 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Виктория,Приятно удивлена)) очень вкусные персики 🍑,16 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Юлия,Дубовые,15 мая 2025  · Карта: xxx52,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг
Юлия,"Были сладкие, повкуснее турецких",15 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Марта,"Зеленые, дубовые, им еще зреть и зреть",15 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг
Татьяна,"Зеленые и деревянные((( Все предыдущие разы были вкусные, а эта поставка невкусная оказалась(((((((((((((",15 мая 2025  · Карта: xxx43,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг
Екатерина,"Мне очень понравились, есть аромат, очень сочные! Не очень сладкие, но для меня это плюс",15 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг
СВЕТЛАНА ИВАНОВНА,"Вкусненький, спелый, сочный, персик сладкий, с легкой кислинкой, ароматный 🍯 Понравился.",15 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Ирина,"Вкусные, сочные персики. Привезли твердые Через день-два стали мягче. Мне понравились, можно было брать больше.",15 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг
Mb,Для начала сезона довольно вкусные. Потребительской степени зрелости.,15 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг
