author,comment,date,url,product,stars,price,currency,weight
Анжелика,Очень вкусная слива,17 мая 2025  · Карта: xxx67,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,5,466,руб,/кг
Наталия,Почти все уже начали подгнивать внутри.,17 мая 2025  · Карта: xxx37,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,2,466,руб,/кг
Елена,Когда слива появилась она была сочная и вкусная. Следующие партии стали плохие - сочности нет и она внутри какая то не такая как первая партия,17 мая 2025  · Карта: xxx70,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,3,466,руб,/кг
СОФЬЯ,Слива была уже вялая и невкусная,17 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,2,466,руб,/кг
Эйвери,очень вкусная когда свежая,17 мая 2025  · Карта: xxx92,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,5,466,руб,/кг
Юлия,"Совсем не сладкие, полужёсткие сливы, не понравились.",16 мая 2025  · Карта: xxx67,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,3,466,руб,/кг
МАРИНА,"Абсолютно безвкусная и не сочная,к сожалению.",16 мая 2025  · Карта: xxx24,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,3,466,руб,/кг
Ирина,Выбираю темную - немного полежит становится более сладкой и мягче,16 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,5,466,руб,/кг
ЛИЛИЯ,"Слива была внутри испорчена, брала 4 шт и ни одной свежей.",15 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,3,466,руб,/кг
Анна,"Сливы не зрелые, твердые, не сочные, с кислинкой.",15 мая 2025  · Карта: xxx06,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,3,466,руб,/кг
Анна,"Ужасная слива, не съедобная абсолютно((( на вкус хуже травы, просто красивая, но просто в мусор еще и за такие деньги(((",15 мая 2025  · Карта: xxx09,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,1,466,руб,/кг
Лиана Сергеевна,Шикарные сливы.Прям любовь❤️‍🔥,15 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,5,466,руб,/кг
Кс,Не дозрелые,15 мая 2025  · Карта: xxx99,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,2,466,руб,/кг
Анастасия,"Вкуснейшая! Очень сладкая и в меру твердая, я не люблю мягкие.",15 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,5,466,руб,/кг
Вероника,В этот раз была очень сладкая и крупная. Но так бывает не всегда. Иногда привозят оч невеусную и твердую,14 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,5,466,руб,/кг
ДАРИМА,Как картошка твердая,14 мая 2025  · Карта: xxx43,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,2,466,руб,/кг
ЮЛИЯ,"В доставке лотерея, не всегда спелая. Но крепкая, сочная, гнилой ни разу не было",13 мая 2025  · Карта: xxx41,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,4,466,руб,/кг
АНАСТАСИЯ,Пара раз приезжала не зрелая,13 мая 2025  · Карта: xxx96,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,3,466,руб,/кг
НАТАЛЬЯ,"Брала много раз эту сливу. Была очень вкусная, сочная, сладкая, сейчас слива уже старовата и суховата",13 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,4,466,руб,/кг
ЕКАТЕРИНА,"Дорогие, безвкусные",13 мая 2025  · Карта: xxx31,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,3,466,руб,/кг
Анастасия,"Покупала в магазине и через доставку - в обоих случаях отличная слива! Крепкая, вкусная, сладкая.",13 мая 2025  · Карта: xxx58,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,5,466,руб,/кг
Елена,"Взяла по ЗЦ.
Мягкая вся внутри.",13 мая 2025  · Карта: xxx32,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,3,466,руб,/кг
Евгения,"Сливы привезли уже подпорченные с забродившим вкусом. Крупные - 3 шт. 500 г, со странными пятнами. Одну съели с грехом пополам, 2 оставшиеся выкинули. В общем, раз на раз не приходится.",12 мая 2025  · Карта: xxx67,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,2,466,руб,/кг
Елена,Оболденно вкусные сливы! Спасибо ВВ!,12 мая 2025  · Карта: xxx68,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,5,466,руб,/кг
Анна,"Ужасные. Безвкусные, как картошка и рыхлые",12 мая 2025  · Карта: xxx62,https://vkusvill.ru/goods/sliva-krasnaya-690.html,Слива красная,1,466,руб,/кг
