author,comment,date,url,product,stars,price,currency,weight
НАТАЛЬЯ ВЛАДИМИРОВНА,"Крепкая сочная свекла, благодарность производителю.",17 мая 2025  · Карта: xxx01,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",5,198,руб,/шт
Покупатель,"Свекла сочная,вкусная, молодая!",16 мая 2025  · Карта: xxx90,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",5,198,руб,/шт
Любовь,Молодая свеколка! Очень вкусная длч борща.,15 мая 2025  · Карта: xxx05,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",5,198,руб,/шт
Елена,"Красная, красивая, но в борщ не положили из-за ее абсолютно никакого вкуса
Хорошее положишь, вкусное получишь.",14 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",5,198,руб,/шт
Маргарита,Кисловато-безвкусная,14 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",1,198,руб,/шт
ЛЮДМИЛА,Хорошая свёкла попалась.,14 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",4,198,руб,/шт
Анжелика,"Отличная, как всегда!",14 мая 2025  · Карта: xxx24,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",5,198,руб,/шт
АННА,"Первый раз была хорошая, сейчас не сладкая совсем, за такую цену хотелось качества",14 мая 2025  · Карта: xxx03,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",2,198,руб,/шт
Семён,"Свежая, но очень сильно красится",11 мая 2025  · Карта: xxx05,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",5,198,руб,/шт
Дина,Не сладкая совершенно,11 мая 2025  · Карта: xxx33,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",4,198,руб,/шт
НАТАЛЬЯ,Совсем безвкусная(((,10 мая 2025  · Карта: xxx65,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",3,198,руб,/шт
Кристина,Свекла на этот раз Горькая!!!не говорю уже о том что не сладкая.,10 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",2,198,руб,/шт
Малика,"Вкусная, нежная. Понравилась. Быстро варится",10 мая 2025  · Карта: xxx38,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",5,198,руб,/шт
Надежда,Отличная.,09 мая 2025  · Карта: xxx44,https://vkusvill.ru/goods/svekla-molodaya-600-g-62125.html,"Свекла молодая, 600 г",5,198,руб,/шт
