author,comment,date,url,product,stars,price,currency,weight
Наталья,"Твёрдые, безвкусные почти.",17 мая 2025  · Карта: xxx43,https://vkusvill.ru/goods/tomaty-krasnye-na-vetke-20625.html,Томаты красные на ветке,3,175,руб,/кг
Мария,"Ужасные. Привезли помидоры все треснутые, а некоторые даже измятые. По ЗЦ такое продавать нельзя, это надо выбрасывать!",17 мая 2025  · Карта: xxx19,https://vkusvill.ru/goods/tomaty-krasnye-na-vetke-20625.html,Томаты красные на ветке,1,175,руб,/кг
Name,"Дубовые, хрустят",17 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/tomaty-krasnye-na-vetke-20625.html,Томаты красные на ветке,1,175,руб,/кг
Лилия,Вообще безвкусные помидоры,16 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/tomaty-krasnye-na-vetke-20625.html,Томаты красные на ветке,2,175,руб,/кг
Наташа,Очень жесткие оказались,16 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/tomaty-krasnye-na-vetke-20625.html,Томаты красные на ветке,2,175,руб,/кг
Оксана,"Твердые, пластиковые , как-будто недозрелые, абсолютно невкусные, ну за сто рублей что можно ожидать..зачем вообще такие выращивать и продавать",16 мая 2025  · Карта: xxx58,https://vkusvill.ru/goods/tomaty-krasnye-na-vetke-20625.html,Томаты красные на ветке,1,175,руб,/кг
Светлана,"Помидоры настолько недозрелые, что хрустят! Жёсткие очень и совершенно бесвкусные",16 мая 2025  · Карта: xxx80,https://vkusvill.ru/goods/tomaty-krasnye-na-vetke-20625.html,Томаты красные на ветке,1,175,руб,/кг
Покупатель,"Вкусные помидоры. Пока съела только два, оба красные внутри и упругие. Брала по ЗЦ. ООО Бина-агро-трейдинг",16 мая 2025  · Карта: xxx34,https://vkusvill.ru/goods/tomaty-krasnye-na-vetke-20625.html,Томаты красные на ветке,5,175,руб,/кг
Ян,"Из плюсов - приятный внешний вид. Это абсолютно безвкусные помидоры с белой жесткой сердцевиной, без запаха. Для салата это абсолютный промах…",16 мая 2025  · Карта: xxx16,https://vkusvill.ru/goods/tomaty-krasnye-na-vetke-20625.html,Томаты красные на ветке,2,175,руб,/кг
Диана Фольмер,Безвкусные,16 мая 2025  · Карта: xxx09,https://vkusvill.ru/goods/tomaty-krasnye-na-vetke-20625.html,Томаты красные на ветке,2,175,руб,/кг
Елена,"Красиво уложенные помидорки - все хорошо, а когда перевернешь -почти все оказались с гнильцой, только 3 шт хорошие",16 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/tomaty-krasnye-na-vetke-20625.html,Томаты красные на ветке,3,175,руб,/кг
