author,comment,date,url,product,stars,price,currency,weight
Екатерина,Не совсем сладкий виноград.,16 мая 2025  · Карта: xxx13,https://vkusvill.ru/goods/vinograd-belyy-bez-kostochki-500-g-59672.html,"Виноград белый без косточки, 500 г",4,405,руб,/шт
Юлия,Обычный киш миш,14 мая 2025  · Карта: xxx62,https://vkusvill.ru/goods/vinograd-belyy-bez-kostochki-500-g-59672.html,"Виноград белый без косточки, 500 г",3,405,руб,/шт
Ирина,Вкусный абсолютно.,14 мая 2025  · Карта: xxx58,https://vkusvill.ru/goods/vinograd-belyy-bez-kostochki-500-g-59672.html,"Виноград белый без косточки, 500 г",5,405,руб,/шт
Александра,Вялый,14 мая 2025  · Карта: xxx58,https://vkusvill.ru/goods/vinograd-belyy-bez-kostochki-500-g-59672.html,"Виноград белый без косточки, 500 г",3,405,руб,/шт
Владислав,Кислый мелкий виноград,13 мая 2025  · Карта: xxx26,https://vkusvill.ru/goods/vinograd-belyy-bez-kostochki-500-g-59672.html,"Виноград белый без косточки, 500 г",1,405,руб,/шт
Карта,"Хороший, понравился😌 маленький, но зато сладкий, Египет.",12 мая 2025  · Карта: xxx70,https://vkusvill.ru/goods/vinograd-belyy-bez-kostochki-500-g-59672.html,"Виноград белый без косточки, 500 г",5,405,руб,/шт
Иван,Кислющий виноград. :(,11 мая 2025  · Карта: xxx01,https://vkusvill.ru/goods/vinograd-belyy-bez-kostochki-500-g-59672.html,"Виноград белый без косточки, 500 г",2,405,руб,/шт
ЕЛЕНА,Кислятина и жесткий,11 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/vinograd-belyy-bez-kostochki-500-g-59672.html,"Виноград белый без косточки, 500 г",2,405,руб,/шт
Оксана,Виноград очень поравился. Не приторно-сладкий. Среднего размера.,09 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/vinograd-belyy-bez-kostochki-500-g-59672.html,"Виноград белый без косточки, 500 г",5,405,руб,/шт
Людмила,"Виноград мелкий,скорее киш миш,белый виноград он крупнее намного .зачем обманываете покупаиеля",08 мая 2025  · Карта: xxx82,https://vkusvill.ru/goods/vinograd-belyy-bez-kostochki-500-g-59672.html,"Виноград белый без косточки, 500 г",1,405,руб,/шт
