author,comment,date,url,product,stars,price,currency,weight
НАТАЛЬЯ,"Мои любимые, только их покупаю, сладкие, сочные и цена приятная, спасибо вкус вилл",17 мая 2025  · Карта: xxx37,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,5,205,руб,/кг
Инга,Очень мелкие,17 мая 2025  · Карта: xxx49,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,3,205,руб,/кг
Агата,"Сочное, но не сладкое.",17 мая 2025  · Карта: xxx51,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,4,205,руб,/кг
Оксана,"Привезли такие мелкие, все ранетки",17 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,1,205,руб,/кг
ФЛОРА,Люблю этот сорт!,16 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,5,205,руб,/кг
Диана,Через одно хорошие. Брала по ЗЦ.,16 мая 2025  · Карта: xxx24,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,4,205,руб,/кг
Татьяна,Сладкие. Сочные. Крупные привезли в заказе. Спасибо. Удовольствие.,16 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,5,205,руб,/кг
Ирина,Жесткие будто им уже много месяцев,16 мая 2025  · Карта: xxx17,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,3,205,руб,/кг
Екатерина,Яблоки абсолютно безвкусные,16 мая 2025  · Карта: xxx62,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,3,205,руб,/кг
Наталия,Яблоки очень мелкие!Без запаха и вкуса!,16 мая 2025  · Карта: xxx87,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,3,205,руб,/кг
АЛЕКСАНДР,На фото красивые а привозят полузеленые,16 мая 2025  · Карта: xxx48,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,3,205,руб,/кг
ДИЛЯРА,Химозные яблоки,16 мая 2025  · Карта: xxx60,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,3,205,руб,/кг
Екатерина,"Мне показалось, или под видом Гала привозят сезонные яблоки?? Сколько помню, не похоже на сорт Гала ну никак",16 мая 2025  · Карта: xxx95,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,1,205,руб,/кг
ЕКАТЕРИНА,"Очень мелкие, незрелые яблоки.",16 мая 2025  · Карта: xxx77,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,1,205,руб,/кг
Елена,"Не уверена, что привезли именно эти яблоки. Как прикрепить их фотографию?",15 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,2,205,руб,/кг
Анастасия,"Яблоки уже отживают свое, становясь мягкими.",15 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,4,205,руб,/кг
Анна,"Сладкие, мягкие - для чувствительных зубов, как у меня, очень подходящие яблочки",15 мая 2025  · Карта: xxx73,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,5,205,руб,/кг
Анжелика,"Не понятно почему у этих яблок пометка «сладкие», скорее безвкусные . Несмотря на то , что я не ем долгое время сахар и сахаросодержащие продукты и рецепторы мои чисты - вкус оставляет желать лучшего .",15 мая 2025  · Карта: xxx02,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,3,205,руб,/кг
Рита,"Совсем не похожи на сорт Гала, ни по вкусу, ни по внешнему виду",15 мая 2025  · Карта: xxx74,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,2,205,руб,/кг
Ирина,"яблоки Гала , хоть и небольшие, но имеют приятный кисло сладкий вкус. можно запекать. очень из любит сын. спасибо.",15 мая 2025  · Карта: xxx57,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,5,205,руб,/кг
Ксения,"Как-то месяц назад покупала, мне показались достаточно вкусные, сочные ароматные, яркие. Но вчера привезли такое безвкусное как трава, мягкое будто старое с загнилинами, но главное абсолютно без запаха и вкус просто отстойный!",15 мая 2025  · Карта: xxx33,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,1,205,руб,/кг
Werther,"бывает получше и посочнее, но с соотношением цена-качество всё предельно хорошо, яблоко всё же не пустое и по вкусу было таким, каким нужно, разве что очень базированным",15 мая 2025  · Карта: xxx72,https://vkusvill.ru/goods/yabloko-gala-15846.html,Яблоко Гала,4,205,руб,/кг
