name,salary,url
QA Auto (python),[],https://novosibirsk.hh.ru/vacancy/111745345?query=Python&hhtmFrom=vacancy_search_list
Senior python developer,"['min', 250000, '₽']",https://novosibirsk.hh.ru/vacancy/111973909?query=Python&hhtmFrom=vacancy_search_list
Python разработчик,"['min', 100000, 'max', 250000, '₽']",https://novosibirsk.hh.ru/vacancy/110130589?query=Python&hhtmFrom=vacancy_search_list
Python-разработчик (гибрид после ИС),[],https://novosibirsk.hh.ru/vacancy/111903561?query=Python&hhtmFrom=vacancy_search_list
Python разработчик в команду UTMS,[],https://novosibirsk.hh.ru/vacancy/111309109?query=Python&hhtmFrom=vacancy_search_list
Fullstack QAA-инженер (Python) в команду Поиск,[],https://novosibirsk.hh.ru/vacancy/104952930?query=Python&hhtmFrom=vacancy_search_list
QA Automation Engineer (Python),"['min', 150000, '₽']",https://novosibirsk.hh.ru/vacancy/108395287?query=Python&hhtmFrom=vacancy_search_list
Преподаватель робототехники,"['min', 90000, '₽']",https://novosibirsk.hh.ru/vacancy/112485352?query=Python&hhtmFrom=vacancy_search_list
Инженер поддержки СРК,[],https://novosibirsk.hh.ru/vacancy/112445116?query=Python&hhtmFrom=vacancy_search_list
In-house IT Support Manager,"['min', 3500, '$']",https://novosibirsk.hh.ru/vacancy/111572750?query=Python&hhtmFrom=vacancy_search_list
DevOps Engineer (ESR),[],https://novosibirsk.hh.ru/vacancy/103973201?query=Python&hhtmFrom=vacancy_search_list
Инженер,[],https://novosibirsk.hh.ru/vacancy/111722125?query=Python&hhtmFrom=vacancy_search_list
Инженер-системный программист,"['min', 100000, 'max', 200000, '₽']",https://novosibirsk.hh.ru/vacancy/111722211?query=Python&hhtmFrom=vacancy_search_list
DevOps инженер (Middle),[],https://novosibirsk.hh.ru/vacancy/112470736?query=Python&hhtmFrom=vacancy_search_list
Junior C++ разработчик алгоритмов геометрического моделирования,"['min', 50000, 'max', 90000, '₽']",https://novosibirsk.hh.ru/vacancy/110595281?query=Python&hhtmFrom=vacancy_search_list
Программист 1С (департамент программного обеспечения),[],https://novosibirsk.hh.ru/vacancy/91314292?query=Python&hhtmFrom=vacancy_search_list
Администратор Linux (Эксплуатация серверных ОС),[],https://novosibirsk.hh.ru/vacancy/111277414?query=Python&hhtmFrom=vacancy_search_list
C++ разработчик алгоритмов геометрического моделирования,"['min', 90000, 'max', 160000, '₽']",https://novosibirsk.hh.ru/vacancy/110595294?query=Python&hhtmFrom=vacancy_search_list
ML-инженер/engineer в онлайн-банк,[],https://novosibirsk.hh.ru/vacancy/112002469?query=Python&hhtmFrom=vacancy_search_list
Инженер-исследователь,"['min', 60000, 'max', 80000, '₽']",https://novosibirsk.hh.ru/vacancy/112053736?query=Python&hhtmFrom=vacancy_search_list
Senior QA Autimation инженер в команду UGC,[],https://novosibirsk.hh.ru/vacancy/110367701?query=Python&hhtmFrom=vacancy_search_list
Продуктовый аналитик в IT-банк,[],https://novosibirsk.hh.ru/vacancy/111730389?query=Python&hhtmFrom=vacancy_search_list
Системный аналитик (DDoS),[],https://novosibirsk.hh.ru/vacancy/112327908?query=Python&hhtmFrom=vacancy_search_list
C# разработчик приложения для автоматизации обработки деталей на лазерных станках,"['min', 75000, 'max', 140000, '₽']",https://novosibirsk.hh.ru/vacancy/110595298?query=Python&hhtmFrom=vacancy_search_list
Инженер поддержки контакт-центров (2 линия),[],https://novosibirsk.hh.ru/vacancy/110322436?query=Python&hhtmFrom=vacancy_search_list
DevOps инженер,"['min', 270000, 'max', 330000, '₽']",https://novosibirsk.hh.ru/vacancy/111858025?query=Python&hhtmFrom=vacancy_search_list
Сетевой инженер службы технической поддержки,[],https://novosibirsk.hh.ru/vacancy/106956862?query=Python&hhtmFrom=vacancy_search_list
Python разработчик/developer в финтех-гигант,[],https://novosibirsk.hh.ru/vacancy/110203540?query=Python&hhtmFrom=vacancy_search_list
Python разработчик Middle/Senior в офис,[],https://novosibirsk.hh.ru/vacancy/106770167?query=Python&hhtmFrom=vacancy_search_list
Full-stack QA-инженер (Python) в команду Online,[],https://novosibirsk.hh.ru/vacancy/107204200?query=Python&hhtmFrom=vacancy_search_list
Python-разработчик / Middle+,[],https://novosibirsk.hh.ru/vacancy/111191821?query=Python&hhtmFrom=vacancy_search_list
Middle Python Developer,"['min', 120000, 'max', 180000, '₽']",https://novosibirsk.hh.ru/vacancy/111933919?query=Python&hhtmFrom=vacancy_search_list
Python Developer,[],https://novosibirsk.hh.ru/vacancy/112346552?query=Python&hhtmFrom=vacancy_search_list
Разработчик программного обеспечения (на Python 3.10+) middle,"['min', 150000, '₽']",https://novosibirsk.hh.ru/vacancy/109703044?query=Python&hhtmFrom=vacancy_search_list
Python developer (Middle),"['min', 150000, '₽']",https://novosibirsk.hh.ru/vacancy/112535808?query=Python&hhtmFrom=vacancy_search_list
Системный администратор (Middle+/Senior),"['min', 250000, '₽']",https://novosibirsk.hh.ru/vacancy/112505749?query=Python&hhtmFrom=vacancy_search_list
Аналитик-стратег (Маркетинг и PR),[],https://novosibirsk.hh.ru/vacancy/110319167?query=Python&hhtmFrom=vacancy_search_list
Сетевой инженер [Senior],[],https://novosibirsk.hh.ru/vacancy/102266322?query=Python&hhtmFrom=vacancy_search_list
Продуктовый аналитик,[],https://novosibirsk.hh.ru/vacancy/108316548?query=Python&hhtmFrom=vacancy_search_list
Ведущий администратор систем мониторинга Zabbix,[],https://novosibirsk.hh.ru/vacancy/107885274?query=Python&hhtmFrom=vacancy_search_list
Deep Learning Engineer,[],https://novosibirsk.hh.ru/vacancy/95509249?query=Python&hhtmFrom=vacancy_search_list
Продуктовый аналитик в IT-Хаб,[],https://novosibirsk.hh.ru/vacancy/112290379?query=Python&hhtmFrom=vacancy_search_list
Программист,[],https://novosibirsk.hh.ru/vacancy/112060093?query=Python&hhtmFrom=vacancy_search_list
Разработчик искусственного интеллекта,"['min', 200000, 'max', 250000, '₽']",https://novosibirsk.hh.ru/vacancy/112368993?query=Python&hhtmFrom=vacancy_search_list
Разработчик шины данных (Java)/Разработчик интеграций,"['min', 150000, '₽']",https://novosibirsk.hh.ru/vacancy/108157259?query=Python&hhtmFrom=vacancy_search_list
ML-инженер,[],https://novosibirsk.hh.ru/vacancy/98313037?query=Python&hhtmFrom=vacancy_search_list
Data Scientist Middle+,[],https://novosibirsk.hh.ru/vacancy/111502160?query=Python&hhtmFrom=vacancy_search_list
QA-инженер,[],https://novosibirsk.hh.ru/vacancy/112385199?query=Python&hhtmFrom=vacancy_search_list
Ведущий сетевой инженер (г. Новосибирск),[],https://novosibirsk.hh.ru/vacancy/106348496?query=Python&hhtmFrom=vacancy_search_list
Программист C#,"['min', 100000, '₽']",https://novosibirsk.hh.ru/vacancy/72862686?query=Python&hhtmFrom=vacancy_search_list
Руководитель отдела системного администрирования,[],https://novosibirsk.hh.ru/vacancy/112447875?query=Python&hhtmFrom=vacancy_search_list
